"['entropy ramsey graphs', 'ramsey graphs entropy', 'ramsey bipartite graphs', 'bipartite ramsey graphs', 'entropy ramsey', 'ramsey graphs frankl', 'extractors entropy note', 'extractors entropy', 'source extractors entropy', 'ordinary ramsey graphs']"
"['evaluators abstract machines', 'abstract machines interpreters', 'evaluator abstract machine', 'evaluators interpreters', 'abstract machine evaluator', 'abstract machines calculus', 'evaluators abstract', 'monadic evaluator', 'monadic evaluator yields', 'evaluator abstract']"
"['extended similarity trajectories', 'similarity trajectories', 'detection similar trajectories', 'time warping trajectories', 'similarities trajectory datasets', 'similarity estimates trajectory', 'expensive similarity measures', 'similarity trajectories given', 'providing similarity measures', 'discovery closest trajectories']"
"['retrieval language', 'detailed retrieval models', 'information retrieval language', 'retrieval research reading', 'relevance based language', 'retrieval retrieval models', 'reap information retrieval', 'retrieval models', 'detailed retrieval', 'based retrieval extensibility']"
"['queries local pages', 'global pages queries', 'pages geographical locality', 'queries global pages', 'geographical locality queries', 'pages global queries', 'discussing query categorization', 'queries according locality', 'global local queries', 'pages geographical scope']"
"['social networks privacy', 'online privacy', 'site privacy', 'online privacy problems', 'privacy online', 'usage inferred privacy', 'risk social networking', 'disclosed facebook', 'usage site privacy', 'users attitudes privacy']"
"['hyperlinks enhanced topic', 'hyperlink induced topic', 'web hyperlink analysis', 'topic model web', 'hyperlink analysis', 'extract relevant links', 'hyperlinks enhanced', 'aware hyperlink based', 'diffuse relevant links', 'hyperlink based topic']"
"['information assurance', 'security component curriculum', 'information assurance education', 'information security education', 'security information education', 'information assurance training', 'information assurance it2005', 'education information assurance', 'technology information assurance', 'study information assurance']"
"['perceptual user interfaces', 'interactive use crayons', 'interactive classification', 'interactive machine learning', 'classify interactive', 'crayons machine learning', 'new perceptual interface', 'perceptual interface classification', 'classify interactive use', 'perceptual interface']"
"['frequent itemsets based', 'frequent itemsets database', 'frequent itemsets finding', 'finding frequent itemsets', 'frequent itemsets data', 'interestingness frequent itemsets', 'pruning frequent itemsets', 'frequent itemsets association', 'frequent itemsets given', 'frequent itemsets using']"
"['wlan bluetooth performance', 'bluetooth wlan performance', 'interference bluetooth devices', 'interference bluetooth', 'bluetooth interference', 'wlan bluetooth devices', 'wlan bluetooth', 'interference evaluation bluetooth', 'interference performance bluetooth', 'interference wlan bluetooth']"
"['information displays', 'presenting information displays', 'conventional information displays', 'display peripheral awareness', 'display conveys awareness', 'displays infocanvas', 'awareness displays systems', 'communicate information glance', 'displays informative', 'peripheral awareness displays']"
"['constraints 3d graphics', 'graphics geometric constraints', '3d geometric constraints', 'constraints 3d', 'geometric constraint library', 'geometric constraints based', '3d geometric layout', 'constraints user interface', 'coordinates geometric constraints', 'incorporate geometric constraints']"
"['sensor nodes storage', 'centric storage kddcs', 'storage kddcs scheme', 'contention storage sensors', 'sensors distributed', 'queries sensor networks', 'distributed sensors', 'sensor network queries', 'efficient distributed', 'sensor networks query']"
"['multilingual topic tracking', 'language topic tracking', 'tracking topics', 'detection topic tracking', 'topic tracking', 'tracking native topic', 'modeling topic tracking', 'topic tracking carried', 'topic tracking present', 'topic model tracking']"
"['preservation reconstructing websites', 'lazy preservation website', 'caches reconstructing websites', 'web archives', 'repositories lazy preservation', 'lazy preservation downloading', 'website preservation', 'crawl cache websites', 'website preservation perspective', 'observations reconstructing websites']"
"['imbalance svms', 'clusters svms', 'balanced data svms', 'classification clusters', 'machines svms', 'svms imbalanced', 'training svms', 'imbalanced support vector', 'data svms', 'clusters support vector']"
"['web search interfaces', 'learning query languages', 'web search resources', 'learning querying', 'web search', 'information retrieval exist', 'query language web', 'web query languages', 'querying web resources', 'query languages web']"
"['data object clustering', 'object clustering', 'dissimilarity measure clusters', 'text mining dissimilarity', 'object clustering algorithms', 'similar traditional clustering', 'cluster dependent keywords', 'clusters identified clustering', 'representation data clusters', 'clustering idea identify']"
"['semi supervised kernel', 'semi supervised kernels', 'classification unified kernel', 'learning unified kernel', 'kernel machine classify', 'unified kernel logistic', 'supervised kernel machine', 'supervised learning kernel', 'supervised kernels labeled', 'unifying supervised kernel']"
"['computer graphics architecture', '3d graphics hardware', '3d graphics accelerator', '3d graphics architectures', 'performance 3d graphics', 'graphics architecture', 'microprocessor specialized graphics', 'architecture computer graphics', 'graphics hardware architecture', 'graphics architectures developed']"
"['indexing broadcast data', 'indexing schemes broadcasting', 'index data broadcast', 'indexing broadcast', 'wireless data dissemination', 'location based indexing', 'data location broadcast', 'broadcast index', 'indexing schemes proposed', 'data dissemination']"
"['online bayesian bagging', 'bayesian online bagging', 'smaller bayesian bagging', 'batch bayesian bagging', 'compared bayesian bagging', 'bagging bayesian bagging', 'bayesian batch bagging', 'models bagged prediction', 'bagging bayesian', 'bagged prediction']"
"['web table detection', 'table detection web', 'table understanding web', 'based table detection', 'tables web documents', 'tables table detection', 'genuine tables web', 'web documents tables', 'web document table', 'table detection feature']"
"['rendering photon mapping', 'hardware accelerated rendering', 'tracing photon mapping', 'accelerated rendering photon', 'based photon mapping', 'shaders photon mapping', 'latency photon mapping', 'photon mapping application', 'mapping algorithm shader', 'photon block hash']"
"['greedy oblivious schedulers', 'construct oblivious scheduler', 'information oblivious scheduler', 'oblivious scheduler propose', 'oblivious schedulers', 'oblivious scheduler assigns', 'use oblivious scheduler', 'guarantee oblivious scheduler', 'oblivious schedulers known', 'oblivious scheduler perform']"
"['classify documents', 'document classifiers', 'document classifiers keyword', 'details concept discovery', 'automatic classification document', 'keywords documents', 'using keywords documents', 'document representations keywords', 'information retrieval', 'document concept relationships']"
"['analysis cancer classification', 'cancer classification machine', 'cancer classification using', 'classification microarray data', 'cancer classification method', 'classifier microarray', 'prediction classification cancer', 'classification cancer classifying', 'cancer classification', 'classification microarray']"
"['level microarray analysis', 'level microarray research', 'microarray research', 'microarray analysis community', 'microarray analysis', 'microarrays revolutionized', 'low level microarray', 'approaches level microarray', 'inference microarray analysis', 'microarray analysis associated']"
"['measuring cohesion packages', 'software high cohesion', 'package cohesion describes', 'package cohesion conclusion', 'cohesion packages', 'object package cohesion', 'cohesion package based', 'cohesion object oriented', 'package measure cohesion', 'measuring package cohesion']"
"['methods measuring government', 'government measurement evaluated', 'government measurement', 'measuring government', 'government measurement include', 'practices government measurement', 'measurement effectiveness government', 'theory measuring government', 'developments electronic government', 'electronic government based']"
"['scheduling slow machines', 'scheduling algorithms', 'machines scheduling', 'scheduling jobs machines', 'scheduling algorithm', 'machine scheduling', 'related machines scheduling', 'algorithm scheduling', 'scheduling problem applications', 'processing time scheduling']"
"['email predictive algorithms', 'personal communitynet', 'predicting personal information', 'personal communitynets', 'communitynet modeling', 'personal social networks', 'prediction communitynet', 'personal social network', 'model communitynet senders', 'communitynet models']"
"['object oriented software', 'object oriented specifications', 'modeling software designs', 'object oriented design', 'object oriented development', 'modeling software code', 'object oriented architecture', 'software code modeling', 'oriented software design', 'describing software behavior']"
"['search information extraction', 'searching information intranet', 'intranet search based', 'intranet search search', 'intranet search systems', 'intranet search using', 'organize intranet search', 'retrieval information search', 'intranet search designed', 'use information extraction']"
"['sensor networks epidemic', 'epidemic spreading node', 'networks using epidemic', 'epidemics network graph', 'network perform epidemic', 'networks epidemic theory', 'node transmits epidemic', 'spread epidemic graphs', 'epidemic outbreak network', 'networks based epidemic']"
"['routing protocols security', 'security routing protocols', 'sensor networks adversary', 'networks formal security', 'adversary sensor environments', 'protocols security', 'protocols security holes', 'sensor routing protocols', 'security analysis routing', 'protocols designed security']"
"['compliant queries obfuscation', 'database constructions obfuscate', 'obfuscated database constructions', 'constructions obfuscate database', 'infeasible database obfuscated', 'obfuscate database evaluation', 'queries obfuscation satisfies', 'queries obfuscate database', 'database obfuscation', 'attributes obfuscating database']"
"['peer data integration', 'peer agreements answering', 'integrity constraints peer', 'computing peer agreements', 'peer preferences databases', 'peer source databases', 'peer peer systems', 'peer schema peer', 'peer peer data', 'query answering peer']"
"['quantitative rules statistic', 'rule statistic support', 'rule discovery', 'discovery rules statistics', 'discovering significant rule', 'rule discovery methods', 'rule discovery literature', 'rules data mining', 'datasets rule discovery', 'introduction rule discovery']"
"['distributed wireless sensor', 'wireless sensor networks', 'sensors communicate cluster', 'sensor network distributed', 'sensor nodes cluster', 'wireless sensor nodes', 'wireless sensor network', 'sensor networks communication', 'sensor node cluster', 'sensor networks wsn']"
"['parallelism web crawler', 'architectures parallel crawler', 'architecture parallel crawler', 'techniques parallel crawler', 'crawler parallelization', 'introduction distributed crawler', 'related parallel crawler', 'parallel crawler discuss', 'architecture web crawler', 'design parallel crawler']"
"['network game optimized', 'network game data', 'game data transport', 'proposed gaming proxy', 'game transport protocol', 'game data delivery', 'internet connection game', 'network gaming', 'proxy based congestion', 'network games demand']"
"['simulations programmable graphics', 'interactive visual simulations', 'programming simulations graphics', 'simulations graphics hardware', 'graphics hardware simulations', 'visual simulation graphics', 'visual simulation rendering', 'simulations running graphics', 'simulation implemented graphics', 'simulation graphics']"
"['presence physiological measures', 'physiological measures presence', 'presence physiological', 'presence physiology', 'measures presence sensitivity', 'presence presence evoked', 'presence sensitivity', 'presence presence', 'measures subjective presence', 'measuring presence']"
"['chinese text segmentation', 'words chinese text', 'chinese text text', 'approach chinese text', 'retrieval chinese text', 'techniques chinese text', 'words contextual information', 'chinese text', 'formula chinese text', 'chinese text called']"
"['privacy trust negotiation', 'automated trust negotiation', 'protection sensitive information', 'sensitive information credentials', 'trust negotiation systems', 'leakage automated trust', 'trust negotiation set', 'trust negotiation designed', 'disclosures credentials requests', 'protecting privacy trust']"
"['probabilistic topic model', 'probabilistic topic models', 'topics authors detection', 'author topic models', 'topic author models', 'author topic modeling', 'topic models information', 'topics document modeling', 'topic models', 'mining topics']"
"['search interface usability', 'evaluating usability search', 'search speed measures', 'user interface search', 'usability search', 'user interfaces search', 'search user interface', 'search speed measure', 'search speed answers', 'study usability search']"
"['secure 3d graphics', 'protecting 3d graphics', 'security 3d content', '3d content protection', 'protected 3d content', 'protected 3d graphics', 'protection 3d graphics', '3d graphics protection', 'rendering purposes security', 'attacks remote rendering']"
"['person robot directs', 'robot detect person', 'robot detects person', 'person tracking attention', 'person addressing robot', 'robots attention person', 'speak robot attention', 'person guide robot', 'robot direct attention', 'attention interaction robot']"
"['persuasive advertising product', 'psychological customization advertising', 'personalized advertising', 'persuasion advertising commerce', 'advertising persuasion commerce', 'persuasion advertising product', 'processing persuasion advertising', 'attitudes behavior advertising', 'persuasive advertising effectiveness', 'persuasive advertising']"
"['database watermarking scheme', 'watermarking relational data', 'relational data watermarked', 'watermarking relational', 'database watermarking', 'new database watermarking', 'propose watermarking scheme', 'key watermarking schemes', 'watermarked data', 'data watermarking']"
"['information context superimposing', 'information context middleware', 'information models addressing', 'superimposing conceptual models', 'underlying information sources', 'integrated information context', 'information structured', 'context base information', 'supports context excerpts', 'underlying data sources']"
"['bluetooth network encapsulation', 'bluetooth service architecture', 'ip services bluetooth', 'ip service bluetooth', 'bluetooth networks', 'bluetooth resource reservation', 'formation bluetooth networks', 'bluetooth network', 'bluetooth service environment', 'communications bluetooth']"
"['answer terms retrieval', 'answer extraction selection', 'question answering systems', 'web question answering', 'question answering web', 'answer extraction', 'question answering task', 'redundancy answer extraction', 'results question answering', 'answer extraction giving']"
"['course programming languages', 'courses programming languages', 'programming languages course', 'programming languages freshmen', 'study programming languages', 'programming languages curriculum', 'described course programming', 'teaching programming languages', 'programming course', 'proposals programming languages']"
"['ranking commerce web', 'web databases rank', 'query result ranking', 'result ranking commerce', 'user ranking', 'retrieval techniques rank', 'automatic ranking', 'user ranking method', 'query based retrieval', 'ranks query results']"
"['user query classification', 'query classification', 'classification query classification', 'web document retrieval', 'query classification used', 'query classification method', 'retrieval performance classification', 'query classification scheme', 'query retrieval based', 'document retrieval types']"
"['base documents querying', 'integrated information querying', 'querying heterogeneous information', 'level query systems', 'query systems', 'info query processor', 'bi level querying', 'query interface suggest', 'xml query interface', 'query systems describes']"
"['aware ranking packets', 'ranking packets', 'ranking sample packet', 'ranking packets carry', 'protocol aware ranking', 'ranking flows detection', 'packets flows sampling', 'detection ranking flows', 'sampling flow ranking', 'flows detection ranking']"
"['objectrank layered graphs', 'graph pagerank', 'pagerank ranking', 'graph objectrank', 'pagerank', 'pagerank considers', 'pagerank rank', 'traditional pagerank', 'presents pagerank', 'page pagerank']"
"['ranking photos', 'photo ranking', 'ranking web objects', 'results ranking photos', 'web object ranking', 'ranking web', 'ranking photos popularity', 'web photo score', 'rank web objects', 'quality photo ranking']"
"['information sharing web', 'information sharing using', 'information social network', 'information shared users', 'social network information', 'users social networks', 'disseminating sharing information', 'proposed information sharing', 'social network using', 'social networks information']"
"['peer storage utility', 'peer storage systems', 'distributed systems client', 'distributed server', 'peer storage', 'server distributed applications', 'spatial database server', 'client server distributed', 'large online data', 'spatial online databases']"
"['multimedia scientific information', 'database researchexplorer', 'information researchexplorer', 'researchexplorer implemented', 'insights exploration multimedia', 'researchexplorer systems', 'researchexplorer exploration', 'multimedia scientific data', 'researchexplorer ui', 'researchexplorer facilitates']"
"['cognitive complexity measure', 'complexity measure software', 'software complexity measure', 'software cognitive complexity', 'software complexity measures', 'information complexity measure', 'cognitive complexity software', 'software complexity measurement', 'comprehensive complexity measure', 'complexity cognitive complexity']"
"['bluetooth scheduling', 'scheduling bluetooth', 'communication bluetooth scatternets', 'scheduling bluetooth piconets', 'bluetooth scatternets slaves', 'bluetooth scatternets abstract', 'bluetooth scatternets', 'scheduling communication scatternet', 'coordinated scatternet scheduling', 'bluetooth scatternets bluetooth']"
"['sensor network reprogramming', 'reprogramming sensor network', 'dynamic linking reprogramming', 'run time linking', 'reprogramming sensor nodes', 'programming sensor networks', 'energy consumption execution', 'reprogramming wireless sensor', 'software running sensor', 'embedded systems sensor']"
"['debug sensor network', 'sensor network debugging', 'sensor devices debugging', 'sensor network simulators', 'distributed debugger', 'ability debug sensor', 'debugging single sensor', 'hardware based debuggers', 'capability debug sensor', 'debugging tools sensor']"
"['large sensor networks', 'sensor networks nodes', 'events sensor networks', 'forwarding packet aggregation', 'sensor networks protocol', 'tree based packets', 'networks sensor networks', 'neighbors packet aggregation', 'nodes packets aggregation', 'packets aggregation forward']"
"['large graph databases', 'mining graph databases', 'mining large graph', 'graph databases mining', 'index graph databases', 'graph pattern mining', 'large graphs database', 'mining graph database', 'databases large graphs', 'mining graph patterns']"
"['ip services multimedia', 'multimedia services ip', 'multimedia services authentication', 'access multimedia services', 'multimedia services voip', 'ip services mobile', 'protocols sip application', 'usage multimedia services', 'ip multimedia', 'network multimedia services']"
"['secure aggregation algorithms', 'securing network aggregation', 'propose secure aggregation', 'node secure aggregation', 'approaches secure aggregation', 'secure aggregation', 'level aggregation security', 'secure aggregation scheme', 'aggregation security', 'secure aggregation require']"
"['middleware sensor networks', 'sensorbus distributed', 'sensorbus middleware', 'sensorbus middleware model', 'sensor network communication', 'wireless sensor networks', 'sensor network needs', 'communication sensor networks', 'sensorbus architecture', 'sensor node computing']"
"['broadcast authentication sensor', 'broadcast authentication protocol', 'data authentication broadcast', 'authentication sensor networks', 'design broadcast authentication', 'broadcast authentication approaches', 'novel protocol authenticates', 'efficient broadcast authentication', 'authentication secure broadcast', 'adapted broadcast authentication']"
"['ranking classification microarray', 'selection microarray data', 'algorithms classifying microarray', 'microarray classification', 'classifying microarray data', 'selection microarray', 'classifying microarray', 'gene selection microarray', 'classification microarray samples', 'classification microarray']"
"['visualization flexible isosurface', 'contour trees visualization', 'contour tree abstraction', 'simplifies contour trees', 'isosurfaces volume rendering', 'contour tree exploration', 'contour tree based', 'contour trees surfaces', 'contour sweeping data', 'simplified contour trees']"
"['resilient packet forwarding', 'relaying nodes misbehavior', 'defense compromised nodes', 'packet dropping attacks', 'malicious nodes', 'malicious nodes drop', 'compromise resilient packet', 'sensor networks security', 'relaying packet intended', 'propose resilient packet']"
"['current search engines', 'web search engine', 'purpose search engines', 'purpose search engine', 'proposed search engine', 'smartcrawl search engine', 'searching engines', 'pages search engines', 'search engines use', 'considered search engine']"
"['braille translation engine', 'braille translation systems', 'indian language toolset', 'text braille translation', 'translation braille text', 'indian languages toolset', 'indian languages tools', 'computerised braille transcriptor', 'braille text indian', 'visually impaired indian']"
"['stylecam animation', 'stylecam interaction', 'stylecam animation clips', 'stylecam interaction model', 'interaction stylecam', 'illustrate stylecam', 'figure stylecam interaction', 'stylecam implemented', 'presentation stylecam', 'stylecam approach']"
"['use tactile displays', 'tactile displays', 'abstract tactile displays', 'user haptic interface', 'tactile display', 'technology tactile displays', 'devices tactile displays', 'limited tactile displays', 'tactile graphics', 'tactile haptic device']"
"['tcp performance modeling', 'modeling tcp performance', 'conventional tcp timer', 'tcp throughput degradation', 'improving tcp', 'tcp throughput losses', 'tcp throughput approach', 'tcp throughput link', 'improves tcp', 'tcp variable delay']"
"['taught sql', 'sql education', 'sql course implementation', 'sql concepts implementation', 'sql concepts', 'course introduces databases', 'database concepts including', 'sql course', 'oracle course', 'databases students learn']"
"['measures retrieval performance', 'retrieval performance measured', 'simple retrieval measure', 'analyzing retrieval measures', 'retrieval performance propose', 'retrieval performance based', 'retrieval performance results', 'retrieval measures', 'retrieval measure', 'underlying retrieval performance']"
"['recognition motion streams', 'recognizing motion streams', 'recognizing motions streams', 'motions streams recognition', 'motion stream recognition', 'motion streams recognizing', 'motion streams similarity', 'recognize motion streams', 'stream motion recognition', 'streams recognizing motion']"
"['cell architecture performance', 'cell processors', 'processor scientific computing', 'cell performance benchmarks', 'cell computational capabilities', 'architecture scientific computations', 'cell processor building', 'cell processor', 'potential cell processor', 'memory cell processor']"
"['components use ontologies', 'components use ontology', 'mediation ontology technologies', 'components ontology', 'software component retrieval', 'source software components', 'existing software components', 'specific components ontology', 'use ontologies mediators', 'software component information']"
"['relaxed service ontology', 'service ontologies choice', 'service ontology generalization', 'service ontologies', 'service ontologies understood', 'available service ontologies', 'use service ontologies', 'services semantic', 'service ontology representing', 'purpose service ontology']"
"['word prediction aac', 'fringe word prediction', 'word prediction speed', 'communication rate speaking', 'prediction fringe words', 'augmentative communication aac', 'speaking rate', 'aac corpus', 'communication making aac', 'using aac corpus']"
"['topic transition detection', 'detection topic transitions', 'transition detection videos', 'detecting topic transitions', 'transition detection video', 'videos probabilistic detection', 'videos probabilistic', 'videos inference', 'hierarchical hmms', 'decomposition semantics videos']"
"['video searching ranking', 'ranking video search', 'video relevance ranking', 'relevance ranking video', 'content ranking videos', 'relevance video metadata', 'rank video search', 'ranking videos', 'content rank videos', 'video ranking']"
"['access policy language', 'access control languages', 'control policy languages', 'policies languages', 'policies written languages', 'access control policies', 'policies language', 'policies languages based', 'reasoning policies language', 'control policy language']"
"['topic trend analysis', 'tracking topic structure', 'topic emergence detection', 'tracking topic structures', 'topic tracking', 'identification topic emergence', 'modeling topic structure', 'topic structure identification', 'topic trend tracked', 'topics analysis']"
"['theft information management', 'manage theft information', 'security breach theft', 'theft information thefts', 'examines theft information', 'thefts information hit', 'protect theft information', 'information thefts', 'breaches information systems', 'manage security breach']"
"['collaboration information seeking', 'collaborative information seeking', 'information seeking researchers', 'information seeking activities', 'individual information seeking', 'information seeking practices', 'seeking information participants', 'seeking collaborative information', 'individual information seeker', 'information seeking']"
"['faults transactional agent', 'fault transactional agent', 'computers transactional agent', 'fault tolerant agent', 'computer transactional agent', 'implementation transactional agent', 'reliable transactional agent', 'fault tolerant object', 'agent tolerant computer', 'transactional agent implemented']"
"['mining bilingual search', 'term translation search', 'translation search engine', 'query translation engine', 'translations search', 'uses bilingual search', 'query terms translation', 'bilingual search', 'monolingual content search', 'translations search result']"
"['generic haskell', 'types haskell', 'types haskell type', 'haskell type classes', 'haskell type', 'haskell type class', 'type indexed functions', 'generic functions types', 'functions generic types', 'polymorphism haskell type']"
"['service robot software', 'services robot application', 'services robot', 'implement robot application', 'service robot applications', 'developing service robot', 'constructing service robot', 'service robot', 'service robots developed', 'services service robot']"
"['distributed information retrieval', 'distributed document retrieval', 'centralized retrieval', 'retrieval resource selection', 'information retrieval known', 'information search retrieval', 'search retrieval', 'information retrieval algorithms', 'retrieval algorithms', 'document retrieval selection']"
"['3g network exposed', 'exploits 3g network', 'traffic 3g networks', 'robustness 3g network', 'traffic 3g', 'impact 3g networks', 'traffic 3g network', 'robustness 3g', '3g robustness', '3g network security']"
"['objects recommending systems', 'ranking contextual recommendation', 'search tool recommending', 'recommendation tool used', 'tool recommending objects', 'recommendation tools', 'recommend objects users', 'contextual recommending', 'contextual recommendation designed', 'recommending objects']"
"['software defect density', 'code churn metrics', 'measuring code churn', 'metrics code churn', 'analyzed code churn', 'bugs code churn', 'systems code churn', 'code churn measure', 'code churn measures', 'code churn release']"
"['cellular environment traffic', 'reasoning traffic pattern', 'agent traffic pattern', 'recognise traffic patterns', 'traffic pattern manage', 'based reasoning traffic', 'reasoning traffic', 'traffic patterns implemented', 'network agent approach', 'recognise traffic']"
"['processes business objects', 'objects business process', 'process business object', 'business objects process', 'business object role', 'business process models', 'business objects roles', 'roles business process', 'role business object', 'business process modeling']"
"['ambient information design', 'design ambient information', 'information ambient displays', 'ambient information systems', 'ambient information displays', 'design ambient', 'designers ambient information', 'ambient systems designers', 'develop ambient information', 'information ambient']"
"['personalized information agents', 'profiles query generation', 'generating search engine', 'profile query generation', 'profiling query generation', 'user generating queries', 'automatic query generation', 'profiles generate queries', 'generate queries profiles', 'query generation mechanisms']"
"['video transcoder coding', 'novel video coding', 'video coding efficiency', 'mb transcoded video', 'video transcoder', 'encoding decoding video', 'efficient video encoding', 'video coding', 'video transcoder comprised', 'process video transcoder']"
"['mobile users streaming', 'streaming service necessitates', 'streaming services necessitates', 'timely video streaming', 'facilitating streaming', 'streaming services presence', 'facilitate video streaming', 'provided streaming services', 'users streaming service', 'streaming services']"
"['taxonomy integration classification', 'bootstrapping approach taxonomy', 'web taxonomy integration', 'consider taxonomies web', 'taxonomy integration enhancing', 'taxonomy training', 'categorization source taxonomy', 'emerging semantic web', 'taxonomy integration enhanced', 'improve taxonomy integration']"
"['indian language indexed', 'crawl indian language', 'indian language web', 'indian languages web', 'search indian language', 'indian language content', 'webkhoj search engine', 'indian language websites', 'indian langauge content', 'content indian language']"
"['documents crawlers', 'academic documents crawling', 'academic publications crawl', 'desired documents crawlers', 'publications crawl', 'metadata focused crawlers', 'documents crawling', 'advantages crawling approaches', 'authors focused crawl', 'desirable content crawler']"
"['web databases sampling', 'queries documents generated', 'information extracted web', 'queries information extracted', 'extraction hidden web', 'hidden web databases', 'retrieval hidden web', 'sampling documents databases', 'queries sampled documents', 'information extraction web']"
"['qos mobile subscribers', 'gsm networks strategies', 'qos mobile', 'gsm networks performance', 'mobile telecommunications', 'cellular mobile network', 'qos 3g mobile', 'service qos 3g', 'performance management 3g', 'qos 3g']"
"['ranking component retrieval', 'facet ranking retrieval', 'ranking software components', 'ranking retrieval component', 'component ranking', 'ranking components', 'ranking components keyword', 'facet based retrieval', 'retrieval software components', 'retrieval software component']"
"['crawling online relevance', 'topic based crawls', 'topic driven crawlers', 'focused crawlers topic', 'links crawl', 'crawlers topic based', 'crawling resource discovery', 'focused crawler enhanced', 'basic focused crawler', 'focused crawl']"
"['fast volume rendering', 'volume rendering approach', 'volume segmentation rendering', 'volume rendering toolkit', 'volume rendering', 'parallel volume rendering', 'volume rendering data', 'hardware volume rendering', 'volume visualization', 'volume rendering filters']"
"['personal information agent', 'personalized information filtering', 'information using agent', 'collaborative browsing agent', 'browsing agent knowledge', 'information extracting agents', 'intelligent personalized filtering', 'filtering agent needs', 'technology personalized information', 'information agent']"
"['retrieval associative networks', 'associative retrieval approach', 'retrieval knowledge representation', 'approach associative retrieval', 'associative retrieval', 'information retrieval knowledge', 'adaptive information retrieval', 'retrieval associative', 'retrieval information retrieval', 'underlying information retrieval']"
"['wireless traffic modeling', 'characterization wireless traffic', 'wireless traffic', 'wireless traffic provide', 'markovian traffic issues', 'kinds wireless traffic', 'focused wireless traffic', 'wireless data traffic', 'wireless ip traffic', 'markovian traffic']"
"['reasoning languages bindings', 'meta reasoning languages', 'theory languages bindings', 'meta theory languages', 'formalize larger type', 'reasoning languages', 'languages bindings implemented', 'custom type theory', 'implement theory metaprl', 'logic formal languages']"
"['delivery parallel computations', 'parallel computations provides', 'asymmetrical parallel computations', 'parallel computations', 'parallel computations called', 'parallel computations using', 'parallel computations present', 'parallel computations barriers', 'parallel computation section', 'parallel computation']"
"['learning techniques bioinformatics', 'bioinformatics machine learning', 'machine learning bioinformatics', 'techniques bioinformatics', 'classifying biological data', 'learning bioinformatics', 'biology data learning', 'learning systems bioinformatics', 'research bioinformatics', 'bioinformatics research']"
"['aspect oriented programming', 'performance aspect oriented', 'aspect language applications', 'aspect tcp', 'aspect language implemented', 'aspect oriented languages', 'aspect oriented language', 'aspect language programming', 'aspect prefetching expressions', 'aspect oriented systems']"
"['website quality evaluation', 'websites quality evaluation', 'quality evaluation indexes', 'website comparison ranking', 'evaluate websites', 'evaluation index methods', 'evaluation indexes business', 'evaluate quality websites', 'business website comparison', 'assesses business websites']"
"['supporting interactive animation', 'interactive 3d animation', 'interactive animation', 'interactive animation using', '3d animated', '3d animation environment', 'animated 3d graphics', '3d computer animation', 'interactive animation playback', 'interactive animated']"
