"['grid service discovery', 'service discovery grids', 'discovery grid services', 'grid discovery services', 'scalable grid service', 'services grids', 'specialized grid service', 'grid services', 'grid service providers', 'grid service']"
"['scalable aggregation trees', 'scalable aggregation tree', 'scalable aggregation', 'scalable distributed', 'fast aggregation updates', 'scalable trees aggregation', 'distributed information aggregation', 'distributed applications', 'scalability sdims', 'achieving scalability nodes']"
"['spectrum content management', 'content distribution storage', 'content storage', 'serving multimedia content', 'distributed content', 'streaming content distribution', 'streaming media content', 'spectrum storage', 'streaming services content', 'content distributed']"
"['distributed game clients', 'communication proxies game', 'proxy aware game', 'distributed game', 'distributed games', 'game logic proxies', 'proxies servers players', 'distributed players', 'game proxies', 'game server communication']"
"['incentives networked systems', 'network competition', 'network innovation', 'network accountability', 'contracting systems competition', 'network industry', 'routing contracting systems', 'network industries', 'network competition concept', 'network accountability vein']"
"['weapon sensor', 'acoustic sniper localization', 'counter sniper systems', 'acoustic counter sniper', 'weapon estimation accuracy', 'soldierwearable mobile countersniper', 'networked shooter localization', 'shooter localization', 'bullet trajectory sensor', 'sniper localization']"
"['web service workflow', 'scheduling web service', 'web services workflows', 'workflows web service', 'workflow web service', 'services workflows', 'scheduling service requests', 'service workflow systems', 'service workflow', 'heuristics scheduling service']"
"['mac os developer', 'design student computer', 'mac os', 'mac', 'mac os workstation', 'course mac', 'mac os applications', 'mac os machines', 'os mac', 'apple mac os']"
"['availability latency zebroids', 'availability latency carrier', 'availability latency policy', 'improvements availability latency', 'minimizing availability latency', 'improve availability latency', 'weighted availability latency', 'availability latency study', 'reducing availability latency', 'availability latency scenarios']"
"['native pda browsers', 'native pda browser', 'mobile web applications', 'pda screen client', 'mobile native browsers', 'screen client', 'pda screen platforms', 'pda web browsers', 'pdas web browsers', 'pthinc native web']"
"['sensor grouping wireless', 'grouping wireless sensor', 'maximizing sensor node', 'neighboring nodes sensing', 'sensor networks habitat', 'neighbor sensing', 'sensor grouping', 'sensor node neighbors', 'node sensor coverage', 'sensing neighbor']"
"['incremental gossip protocols', 'gossip coordinated spectrum', 'opportunistic spectrum sharing', 'protocols gossip', 'radios protocols', 'protocols uniform gossip', 'gossip protocols', 'spectrum sharing', 'coordinated spectrum sensing', 'randomized gossip protocol']"
"['asynchronous messaging middleware', 'communication middleware', 'messaging middleware', 'asynchronous communication environments', 'middleware mobile computing', 'protocol middleware', 'asynchronous messaging', 'middleware primitives communication', 'middleware systems', 'middleware mobile environments']"
"['intrusion detection grid', 'intrusions grid environment', 'grid intrusion detection', 'intrusions grid', 'heterogeneous idss processing', 'intrusion detection components', 'intrusion detection services', 'distributed attacks intrusions', 'intrusion detection architecture', 'detect intrusions']"
"['service events correlation', 'service event correlation', 'event correlation service', 'correlation service events', 'serviceoriented event correlation', 'correlation service event', 'correlated service events', 'service event issuer', 'correlated service event', 'management event correlation']"
"['predecessors distributed computations', 'predecessor events protocols', 'distributed computation events', 'capturing causality distributed', 'causality distributed systems', 'immediate predecessors distributed', 'distributed computations emmanuelle', 'track causality concurrency', 'causal dependencies concurrency', 'causality concurrency']"
"['autonomous components', 'smart components', 'suitable smart components', 'sensors smart components', 'autonomous components composed', 'smart sensor component', 'autonomous components cooperate', 'systems components', 'larger autonomous components', 'architectures middleware interaction']"
"['manets p2p systems', 'hoc networks design', 'ad hoc networks', 'manets p2p', 'networks manets', 'distribution manets approach', 'mobile nodes', 'achieve load balancing', 'manet p2p', 'load balancing resource']"
"['operation contexts operations', 'operation context theory', 'operation context notion', 'operation context', 'context original operations', 'operation contexts', 'operations undoing', 'operations context context', 'undoing operations', 'operations context']"
"['techniques caching database', 'adaptive database cache', 'alternative approaches caching', 'caching solutions throughput', 'data cache web', 'useful data cache', 'based techniques caching', 'data intensive web', 'database caching', 'approaches caching']"
"['energy harvesting framework', 'feasibility energy harvesting', 'model energy harvesting', 'harvesting energy environment', 'cycling energy harvesting', 'applicable energy harvesting', 'energy harvesting', 'management energy harvesting', 'energy harvesting sensor', 'harvesting sensor networks']"
"['pervasive document management', 'pervasive document editing', 'collaborative document processing', 'pervasive collaborative document', 'sophisticated document management', 'collaborative document editing', 'pervasive editing management', 'document editing management', 'data document management', 'document management']"
"['replica selfish servers', 'replicas selfish servers', 'selfish servers model', 'networked selfish servers', 'replicas nash equilibrium', 'networks selfish servers', 'nash equilibrium replica', 'selfish servers', 'replicas nash equilibria', 'servers game theory']"
"['distributed applications', 'service grid infrastructure', 'adaptive services', 'adaptive service service', 'grid computing infrastructures', 'adaptive service', 'adaptive services provides', 'adaptive services framework', 'infrastructures grid computing', 'systems distributed']"
"['regularized clustering methods', 'novel document clustering', 'document clustering', 'document clustering methods', 'traditional document clustering', 'good document clustering', 'clustering documents', 'introduction document clustering', 'representitive document clustering', 'method clustering documents']"
"['image retrieval relevance', 'results image retrieval', 'relevance feedback image', 'feedback image retrieval', 'retrieval relevance feedback', 'effectiveness image retrieval', 'learning image retrieval', 'image retrieval end', 'image retrieval results', 'consider image retrieval']"
"['efficient generation snippets', 'searchers accurate snippets', 'snippet generation performance', 'fast snippet generation', 'informative snippets search', 'cache store sentences', 'performance snippet generation', 'performance web search', 'caching search engines', 'snippet engine optimizations']"
"['captions web search', 'web search captions', 'search result captions', 'search captions', 'web search behavior', 'web search results', 'queries caption characteristics', 'clickthroughs search engine', 'features captions web', 'improving web search']"
"['web search interactions', 'popular search queries', 'web search interaction', 'exploratory searches users', 'search results destinations', 'search engine interactions', 'search destination suggestions', 'web searching trends', 'compared suggestion destinations', 'popularity web search']"
"['caching search engines', 'caching search engine', 'caching queries', 'efficient caching', 'dynamic caching queries', 'caching query answers', 'caching answers queries', 'queries caching', 'caching search', 'caching strategies']"
"['prune index documents', 'pruning information retrieval', 'pruned index approach', 'reduction search quality', 'pruned index typically', 'inverted index search', 'pruned indexes', 'efficient indexes provide', 'pruned index', 'pruned index order']"
"['shared topic detection', 'topic detection multidocument', 'document topic segmentation', 'detection topic segmentation', 'topic tracking', 'topic detection tracking', 'information topic segmentation', 'topic segmentation optimization', 'topic segmentation documents', 'topic segmentation']"
"['features periodic event', 'event periodicity classification', 'periodic features bursts', 'analyzing word trajectories', 'similarity periodic features', 'classify word features', 'categorize word features', 'aperiodic events features', 'temporal text mining', 'identify feature bursts']"
"['personalized query expansion', 'personalized retrieval engine', 'personalized search results', 'adaptive personalized query', 'query expansion keywords', 'personalized web search', 'personalized retrieval', 'personalized search algorithms', 'keywords personalized', 'additional query keywords']"
"['detection news indexing', 'tracking news events', 'news indexing tree', 'detection news', 'indexing tree news', 'news indexing', 'proposed news indexing', 'following detection news', 'based news indexing', 'event detection international']"
"['improving query classification', 'web query classification', 'improve query classification', 'query classification performance', 'small query classification', 'findings query classification', 'query classification', 'automatic query classification', 'query classification aim', 'categorizing web queries']"
"['users advanced searchers', 'advanced searchers querying', 'search characteristics users', 'novice searchers user', 'engine users search', 'web search interaction', 'users advanced search', 'search engine users', 'experienced searchers search', 'searchers querying']"
"['term relevance feedback', 'terms relevance feedback', 'retrieval language modeling', 'retrieval retrieval models', 'relevance feedback terms', 'term feedback relevance', 'information retrieval language', 'information retrieval feedback', 'relevance feedback methods', 'retrieval models']"
"['ranked retrieval systems', 'achievable accuracy ranking', 'best retrieval functions', 'score retrieval', 'svm optimizing', 'map svm', 'ranked retrieval', 'map svm optimizing', 'map performance svm', 'svm map best']"
"['models relevance feedback', 'relevance feedback methods', 'relevance feedback information', 'pseudo relevance feedback', 'relevance feedback', 'relevance feedback using', 'improving retrieval feedback', 'retrieval feedback', 'feedback information retrieval', 'retrieval relevance score']"
"['query contexts', 'query contexts information', 'query specific contexts', 'context query factors', 'information retrieval context', 'contexts information retrieval', 'specify contexts query', 'query context', 'context words queries', 'contexts query']"
"['retrieval concept expansion', 'concept query expansion', 'query expansion relevance', 'modeling query expansion', 'expansion relevance models', 'modeling information retrieval', 'information retrieval generalization', 'retrieval document expansion', 'retrieval generalization relevance', 'relevance modeling']"
"['poisson retrieval models', 'multinomial retrieval models', 'poisson multinomial retrieval', 'models multinomial retrieval', 'poisson retrieval model', 'probabilistic retrieval models', 'different retrieval models', 'retrieval multinomial distribution', 'retrieval models', 'retrieval models general']"
"['definitional question answering', 'question answering', 'definitional answers topics', 'answering models interestingness', 'definitional answers using', 'definitional questions identification', 'question answering kian', 'definitional answers topic', 'definitional answers methods', 'question answering definitional']"
"['adarank boosting', 'adarank boosting algorithm', 'learning ranking models', 'rank document retrieval', 'adarank ranking', 'adarank algorithm training', 'learning rankings', 'performance adarank task', 'results ranking training', 'learning adarank']"
"['svms spam filtering', 'spam svms', 'spam online svms', 'svms spam detection', 'online svms spam', 'svms spam', 'vector machines spam', 'svms online spam', 'statistical spam filters', 'supervised spam filter']"
"['pagerank heat', 'diffusionrank pagerank', 'spamming diffusionrank', 'pagerank diffusionrank', 'pagerank heat diffusion', 'diffusionrank', 'algorithm diffusionrank', 'pagerank diffusionrank diffusionrank', 'diffusionrank employing', 'generalization pagerank heat']"
"['personal information management', 'personal information retrieval', 'manage information', 'information management evaluations', 'information management tools', 'information management', 'email finding strategies', 'detailed information users', 'information finding tasks', 'email finding tasks']"
"['lingual query suggestion', 'crosslanguage information retrieval', 'monolingual query suggestion', 'cross lingual query', 'monolingual query suggestions', 'lingual query similarity', 'language query term', 'lingual query expansion', 'cross language query', 'lingual query pairs']"
"['effectiveness pagerank hits', 'effectiveness pagerank', 'ranking web search', 'pagerank hits algorithms', 'pagerank hits', 'hits pagerank', 'ranking web', 'pagerank degree hits', 'links retrieval performance', 'hits pagerank degree']"
"['systems topics graph', 'topics hubness systems', 'network analysis measures', 'graph trec systems', 'network analysis indicators', 'social network analysis', 'topics graph', 'information retrieval evaluation', 'measuring topic capability', 'cluster topics graph']"
"['link classification', 'links factorizations', 'link matrix factorization', 'web page classification', 'factors link content', 'classification link structure', 'web page categorization', 'pagerank hyperlinks', 'link content matrix', 'link structure web']"
"['temporal text indexing', 'temporal text index', 'search large textual', 'efficient search large', 'efficient search', 'search temporal coalescing', 'indexing time', 'indexing documents', 'documents temporal databases', 'scalable temporal text']"
"['web queries prediction', 'retrieval performance prediction', 'predicting retrieval performance', 'retrieval query performance', 'predicting query performance', 'query performance prediction', 'web retrieval', 'web retrieval technique', 'web retrieval query', 'retrieval performance content']"
"['broad expertise retrieval', 'expertise retrieval sparse', 'lot expertise retrieval', 'expertise retrieval', 'expertise retrieval tasks', 'main expertise retrieval', 'expertise retrieval generalize', 'useful expertise retrieval', 'expertise retrieval needs', 'focused expertise retrieval']"
"['ads contextual advertising', 'contextual ads', 'contextual advertising ads', 'context match advertising', 'matching contextual advertising', 'contextual ads relevance', 'advertising contextual advertising', 'contextual advertising', 'page contextual advertising', 'pages contextual advertising']"
"['term mismatch retrieval', 'query expansion techniques', 'expansion document retrieval', 'term mismatch queries', 'evaluating query expansion', 'automatic query expansion', 'query term documents', 'documents query terms', 'systems query expansion', 'query expansion feedback']"
"['retrieval performance prediction', 'predicting retrieval performance', 'predicting retrieval', 'retrievals predict', 'retrievals systems predictors', 'retrieval predictors', 'predict retrieval', 'scorings retrievals predictor', 'predicting performance retrievals', 'spatial analysis retrieval']"
"['user passage ranking', 'based retrieval engine', 'automatic retrieval', 'twelfth text retrieval', 'passage retrieval component', 'feedback retrieval models', 'passage ranking', 'passage retrieval', 'novelty text retrieval', 'redundant passage ranking']"
"['ranked retrieval systems', 'ranking documents', 'rank aggregation approaches', 'multiple ranked retrieval', 'rank aggregation methods', 'documents ranking', 'ranked documents', 'ranked retrieval', 'rank aggregation research', 'document ranking']"
"['vocabulary speech indexing', 'speech data queries', 'terms spoken data', 'spoken data retrieval', 'approaches speech indexing', 'query phonetic transcripts', 'phonetic transcripts retrieval', 'transcripts query terms', 'spoken term detection', 'speech indexing retrieval']"
"['sensitive query stemming', 'query processing stemming', 'search stemming', 'processing stemming indexing', 'stemming web search', 'query stemming', 'context sensitive stemming', 'stemming query reformulation', 'stemming query expansion', 'sensitive stemming method']"
"['conceptual retrieval domain', 'retrieval biomedical literature', 'conceptual retrieval systems', 'conceptual retrieval study', 'study conceptual retrieval', 'concepts retrieval concept', 'concepts retrieval', 'biomedical information retrieval', 'conceptual retrieval', 'biomedical text retrieval']"
"['probabilistic retrieval model', 'probabilistic retrieval models', 'probabilistic weighted retrieval', 'probabilistic retrieval', 'information retrieval models', 'probabilistic retrieval approaches', 'probability probabilistic retrieval', 'probabilities probabilistic retrieval', 'retrieval probabilistic inference', 'retrieval models']"
"['associating ads web', 'web advertising', 'ads regard web', 'advertising search engines', 'web advertising comput', 'techniques web advertising', 'targeted advertising computer', 'web pages ads', 'targeted advertising keywords', 'ads contents']"
"['modeling personalized search', 'model personalized search', 'personalized search agent', 'personalized web search', 'personalized search studied', 'modeling information retrieval', 'retrieval implicit user', 'personalized search', 'specific retrieval models', 'personalized search reason']"
"['indexing broadcast data', 'index data broadcast', 'indexing information dissemination', 'data location broadcast', 'indexing broadcast', 'wireless data dissemination', 'broadcast data locations', 'wireless broadcast data', 'data dissemination', 'broadcast index']"
"['complex digital libraries', 'learning information architecture', 'complex digital library', 'automatic concept identification', 'retrieval digital libraries', 'retrieval data structures', 'information architecture discovery', 'classify documents', 'classification web content', 'details concept discovery']"
"['ranking web objects', 'ranking web', 'rank web objects', 'ranking photos', 'photo ranking', 'maximal ratings web', 'object ranking', 'rank aggregation web', 'proposed ranking algorithms', 'web communities rating']"
"['modeling recommendation systems', 'user modeling recommendation', 'modeling recommendation', 'learning user profiles', 'personalized recommendations users', 'learn user models', 'recommendation learns', 'recommendation systems', 'personalized recommendations', 'models collaborative filtering']"
"['retrieval resource selection', 'distributed information retrieval', 'document retrieval selection', 'centralized retrieval', 'distributed document retrieval', 'information retrieval', 'selection document retrieval', 'information search retrieval', 'decision document retrieval', 'retrieval algorithms']"
"['document title extraction', 'titles extractions', 'title extraction research', 'successful title extraction', 'consider title extraction', 'title extraction', 'title extraction approach', 'title extraction methods', 'approach title extraction', 'information title extraction']"
"['pagerank machine learning', 'pagerank features', 'pagerank static features', 'better pagerank', 'features pagerank', 'pagerank pairwise accuracy', 'better pagerank pairwise', 'ranking web pages', 'accuracy pagerank', 'pagerank ranks']"
"['evaluating retrieval systems', 'retrieval evaluation', 'evaluating retrieval', 'evaluate relevance judgments', 'acquiring relevance judgments', 'reuse relevance judgments', 'accumulating relevance judgments', 'systems relevance judgments', 'relevance judgments set', 'acquire relevance judgments']"
"['retrieval various distance', 'descriptors retrieval applications', 'descriptors distance measurement', 'descriptors distance', 'descriptors retrieval', 'basic descriptors retrieval', 'distance measures descriptor', 'descriptor distance measure', 'distance measure descriptor', 'descriptor distance']"
"['web hidden search', 'crawling hidden web', 'automatic hidden web', 'hidden web crawling', 'hidden web crawlers', 'web crawling', 'effective hidden web', 'search hidden web', 'approach hidden web', 'hidden web crawler']"
"['accelerating pagerank computation', 'global pagerank estimation', 'computing pagerank world', 'accelerating pagerank', 'global pageranks care', 'global pageranks', 'global pagerank', 'accelerated pagerank computation', 'local pageranks', 'approximate global pageranks']"
"['identifying topics events', 'news topic event', 'event threading news', 'threading events news', 'modeling news topics', 'topic event models', 'events news topic', 'identifying events topic', 'topics events', 'topic events']"
"['predicting web search', 'predict web search', 'user search interactions', 'user relevance judgments', 'predicting relevance preference', 'interacting web search', 'predicted relevance preferences', 'predict relevance preferences', 'implicit user feedback', 'implicit relevance feedback']"
"['evaluation topic tracking', 'adaptive filtering relevance', 'evaluations topic tracking', 'conventional topic tracking', 'adaptive rocchio relevance', 'topic tracking relevance', 'tracking relevance feedback', 'rocchio relevance feedback', 'filtering relevance feedback', 'corpus parameter tuning']"
"['xml retrieval evaluation', 'xml retrieval', 'xml information retrieval', 'retrieval xml documents', 'xml retrieval results', 'information retrieval xml', 'evaluation xml retrieval', 'hybrid xml retrieval', 'retrieval xml', 'ranking xml information']"
"['cluster web search', 'search engine clustering', 'search retrieval clustering', 'clustering search engine', 'search results cluster', 'clustering search results', 'search results clusters', 'retrieval clustering search', 'results cluster search', 'cluster search results']"
"['information retrieval models', 'retrieval retrieval models', 'information retrieval language', 'existing retrieval models', 'information search retrieval', 'retrieval accuracy relevance', 'retrieval models retrieval', 'information retrieval performance', 'retrieval models', 'basic retrieval model']"
"['web search evaluation', 'web search behaviors', 'ranking web search', 'web search ranking', 'feedback web search', 'improving web search', 'ranking search results', 'web search features', 'ranked web search', 'web search performance']"
"['queries geographical references', 'location references search', 'locations search engine', 'geographical references queries', 'geographical query references', 'locations search queries', 'queries geographical reference', 'disambiguating place references', 'place references queries', 'location information search']"
"['implicit relevance feedback', 'implicit relevance information', 'information retrieval behavior', 'search relevance information', 'retrieval performance relevance', 'search relevance', 'search feedback interaction', 'search task feedback', 'performance relevance feedback', 'computer search experience']"
"['text classification action', 'mails action items', 'action item detection', 'classify email', 'spam detection action', 'detecting items mail', 'mails action', 'action request detection', 'detection action item', 'automated action item']"
"['text classifiers probability', 'estimates text classifiers', 'classifiers probability estimates', 'text classifier probability', 'bayes text classification', 'text classifiers', 'classifier probability estimates', 'training text classifiers', 'bayesian classifiers', 'text classifiers training']"
"['aborts abstract agent', 'agent aborting', 'tasks bdi agents', 'aborting tasks bdi', 'abort task approach', 'agent capable reasoning', 'agent deliberations', 'bdi agent programming', 'agent execution', 'agent accomplish aborting']"
"['agent concept learner', 'multiagent incremental learning', 'agent concept learning', 'incremental multi agent', 'multi agent concept', 'learning agents', 'memorized learner agent', 'collaborative multiagent learning', 'agent incremental', 'learner agent agents']"
"['agent external behavior', 'agent behaviors', 'agent behavior', 'agent internal state', 'predicts behavior agents', 'include agents dynamics', 'predicting agents', 'agents predict', 'agent interactions', 'agent theory']"
"['user observations agents', 'environments sparse data', 'collaborate environments agents', 'observations agent', 'interacting computer agent', 'dynamic environments sparse', 'agents data', 'environments agents', 'distributed computer agents', 'combined data agents']"
"['search peer peer', 'distributed search protocol', 'peer information retrieval', 'search peer', 'search hierarchical p2p', 'distributed search sessions', 'distributed search', 'distributed search process', 'search processes peer', 'distributed search processes']"
"['searching agents network', 'dynamic networks agents', 'large networks agents', 'searching agents', 'routing queries agents', 'network efficient information', 'agents search', 'agents networks', 'dynamic large networks', 'large dynamic network']"
"['bluscreen advertising bidding', 'advertising agent bluetoothdevice', 'devices bidding agent', 'auction mechanism advertising', 'advertising bidding strategy', 'bidding agent advertisement', 'auction advertising', 'advertising bidding', 'auctions bidding agents', 'agents bluscreen advertising']"
"['planning satellite swarm', 'tasks satellite swarm', 'satellite swarm problem', 'satellite swarm communication', 'satellite swarms sets', 'satellite swarm simulations', 'swarm satellite swarm', 'developed satellite swarms', 'satellite swarm', 'observation satellite swarm']"
"['determination simultaneous auctions', 'analysis simultaneous auctions', 'simultaneous auctions', 'auctions simultaneous auctions', 'auctions global bids', 'auctions global bidders', 'global bidder auction', 'simultaneous auctions segmented', 'auction theory', 'bidder simultaeous auctions']"
"['weighted voting games', 'agent voting power', 'power weighted voting', 'weighted majority games', 'edges coalition agents', 'power indices game', 'game coalition edges', 'agents network flow', 'voting power indices', 'agent network flow']"
"['market barriers communication', 'market barriers agents', 'word mouth communication', 'perceived market barriers', 'communication networks marketing', 'mechanism word mouth', 'market barriers ability', 'market barriers effects', 'market barriers', 'effects market barriers']"
"['agent cognitive load', 'cognitive model agent', 'agent cognitive model', 'cognitive loads team', 'cognitive load modeling', 'cognitive load models', 'cognitive agent architecture', 'cognitive agent', 'human cognitive load', 'cognitive load model']"
"['parallel economic search', 'economic search distributed', 'parallel search equilibrium', 'strategies parallel search', 'economic search theory', 'economic search models', 'parallel search partnership', 'economic search partnerships', 'search equilibrium', 'cooperative search']"
"['distributed scheduling agents', 'agents effective scheduling', 'schedule temporal constraints', 'distributed schedule management', 'scheduling agents', 'schedules multiple agents', 'distributed schedule', 'multi agent schedules', 'agent scheduling', 'schedule distributed']"
"['agent social network', 'tasks social network', 'social network agents', 'social network tasks', 'distributed task', 'distributed task allocation', 'allocation social networks', 'distributed algorithms', 'allocation social network', 'arbitrary social network']"
"['judgment aggregation logics', 'judgment aggregation logic', 'logic judgment aggregation', 'reasoning judgment aggregation', 'logic preference aggregation', 'judgment preference aggregation', 'preference aggregation logic', 'judgment aggregation preference', 'principles judgment aggregation', 'preference aggregation judgment']"
"['utility rational agents', 'single adversarial agent', 'adversarial agent consider', 'adversarial agents explore', 'adversarial environment axioms', 'agents adversaries models', 'sum adversarial environment', 'adversarial behavioral axioms', 'adversarial agent behavior', 'adversarial agent']"
"['considered institution specification', 'institutional specification', 'institution specification', 'rudimentary institutional specifications', 'institutional specification containing', 'occurring institution specification', 'formal approaches institutions', 'structuring specification institution', 'specification institutions', 'institution organization specifications']"
