"['entropy ramsey graphs', 'ramsey graphs entropy', 'polynomial entropy ramsey', 'ramsey bipartite graphs', 'bipartite ramsey graphs', 'entropy ramsey', 'ramsey graphs frankl', 'extractors entropy', '2n ramsey graphs', 'ramsey graphs']"
"['classify documents', 'document classifiers', 'document classifiers keyword', 'details concept discovery', 'keywords documents', 'learning information architecture', 'using keywords documents', 'document representations keywords', 'information retrieval', 'document concept relationships']"
"['analysis cancer classification', 'classification microarray data', 'classifier microarray', 'prediction classification cancer', 'cancer classification', 'cancer classification abstract', 'classification microarray', 'cancer classifying', 'learning dna microarray', 'accurate classification cancer']"
"['level microarray analysis', 'level microarray research', 'microarray research', 'microarray analysis community', 'microarray analysis', 'microarrays revolutionized', 'low level microarray', 'approaches level microarray', 'inference microarray analysis', 'high level microarray']"
"['software high cohesion', 'package cohesion conclusion', 'cohesion packages', 'object package cohesion', 'measuring package cohesion', 'program cohesion', 'cohesion package ways', 'oo program cohesion', 'package cohesion', 'package cohesion cohesion']"
"['government measurement', 'measuring government', 'practices government measurement', 'developments electronic government', 'electronic government based', 'measuring government impact', 'impact government measurement', 'government measured', 'government measure', 'measure government development']"
"['scheduling algorithms', 'machines scheduling', 'scheduling jobs machines', 'scheduling algorithm', 'machine scheduling', 'simple scheduling algorithms', 'related machines scheduling', 'algorithm scheduling', 'scheduling problem applications', 'scheduling algorithm scheduling']"
"['personal communitynet', 'personal communitynets', 'communitynet modeling', 'personal social networks', 'prediction communitynet', 'personal social network', 'personal communitynets applied', 'personal information dissemination', 'model communitynet senders', 'communitynet models']"
"['modeling software designs', 'modeling software code', 'software code modeling', 'oriented software design', 'describing software behavior', 'oriented software designs', 'code modeling software', 'model concurrent software', 'object oriented', 'concurrent object oriented']"
"['search information extraction', 'intranet search search', 'intranet search systems', 'organize intranet search', 'retrieval information search', 'use information extraction', 'information extraction', 'intranet search tools', 'intranet search needs', 'intranet search']"
"['sensor networks epidemic', 'networks epidemic theory', 'spread epidemic graphs', 'epidemic outbreak network', 'epidemics network', 'networks epidemic', 'network wide epidemic', 'susceptible node communication', 'epidemic graphs', 'epidemic breakout propagations']"
"['routing protocols security', 'sensor networks adversary', 'networks formal security', 'attack authenticated routing', 'adversary sensor environments', 'attacking routing protocol', 'protocols security', 'protocols security holes', 'security routing', 'attacks routing']"
"['obfuscated database constructions', 'infeasible database obfuscated', 'obfuscate database evaluation', 'database obfuscation', 'obfuscation database', 'privacy corresponding obfuscation', 'obfuscate database', 'intuitive database privacy', 'compliant queries obfuscation', 'database constructions obfuscate']"
"['peer data integration', 'integrity constraints peer', 'computing peer agreements', 'peer source databases', 'peer peer systems', 'peer schema peer', 'peer peer data', 'database peer', 'peer database', 'peer schemas']"
"['quantitative rules statistic', 'rule discovery', 'discovery rules statistics', 'rule discovery methods', 'rule discovery literature', 'rules data mining', 'introduction rule discovery', 'rules statistic', 'rules statistics', 'rule statistic']"
"['wireless sensor networks', 'sensor nodes cluster', 'wireless sensor network', 'sensor networks communication', 'sensor node cluster', 'sensor networks habitat', 'gathering sensor networks', 'hoc sensor networks', 'nodes wireless sensor', 'sensor networks survey']"
"['parallelism web crawler', 'architectures parallel crawler', 'architecture parallel crawler', 'techniques parallel crawler', 'crawler parallelization', 'parallel crawler discuss', 'architecture web crawler', 'effective parallel crawler', 'parallel crawler design', 'site parallel crawler']"
"['network game data', 'game data transport', 'game transport protocol', 'game data delivery', 'internet connection game', 'network gaming', 'needed network gaming', 'server wireless game', 'interactive network gaming', 'network games']"
"['simulations programmable graphics', 'interactive visual simulations', 'programming simulations graphics', 'simulations graphics hardware', 'graphics hardware simulations', 'visual simulation graphics', 'visual simulation rendering', 'simulation graphics', 'visual simulations', 'simulation rendering']"
"['presence physiological measures', 'physiological measures presence', 'presence physiology', 'presence physiology haptics', 'presence sensitivity', 'presence presence', 'measures subjective presence', 'measuring presence', 'subjective presence measures', 'effects presence']"
"['chinese text segmentation', 'words chinese text', 'chinese text text', 'approach chinese text', 'retrieval chinese text', 'techniques chinese text', 'words contextual information', 'chinese text', 'formula chinese text', 'chinese text called']"
"['privacy trust negotiation', 'automated trust negotiation', 'protection sensitive information', 'sensitive information credentials', 'trust negotiation systems', 'leakage automated trust', 'disclosures credentials requests', 'protecting privacy trust', 'policies sensitive attributes', 'safety trust negotiation']"
"['probabilistic topic model', 'probabilistic topic models', 'topics authors detection', 'author topic models', 'topic author models', 'author topic modeling', 'topic model citeseer', 'topic models', 'mining topics', 'author topic distributions']"
"['search interface usability', 'user interface search', 'usability search', 'user interfaces search', 'search user interface', 'search speed measure', 'search speed answers', 'study usability search', 'search user interfaces', 'search result evaluation']"
"['security 3d content', '3d content protection', 'protection 3d graphics', '3d graphics protection', 'rendering purposes security', 'attacks remote rendering', 'theft 3d content', 'protection remote rendering', '3d graphics encrypt', 'preventing piracy 3d']"
"['person tracking attention', 'robots attention person', 'speak robot attention', 'attention interaction robot', 'attention robot', 'person robot', 'person relative robot', 'attention mobile robot', 'spoken person robots', 'robot attention']"
"['persuasive advertising product', 'psychological customization advertising', 'personalized advertising', 'persuasion advertising commerce', 'advertising persuasion commerce', 'persuasion advertising product', 'processing persuasion advertising', 'attitudes behavior advertising', 'persuasive advertising effectiveness', 'persuasive advertising']"
"['database watermarking scheme', 'relational data watermarked', 'database watermarking', 'new database watermarking', 'propose watermarking scheme', 'key watermarking schemes', 'watermarked data', 'data watermarking', 'keys watermarking schemes', 'key watermarking scheme']"
"['underlying information sources', 'architecture contexts excerpts', 'integrated information context', 'information structured', 'context base information', 'supports context excerpts', 'superimposed information management', 'underlying data sources', 'context management', 'information source example']"
"['bluetooth network encapsulation', 'bluetooth service architecture', 'bluetooth ip services', 'bluetooth ip service', 'bluetooth ip interworking', 'bluetooth ip qos', 'ip bluetooth service', 'bluetooth networks', 'formation bluetooth networks', 'bluetooth network']"
"['answer terms retrieval', 'answer extraction selection', 'answer extraction', 'redundancy answer extraction', 'question answering track', 'question answering', 'answer mining', 'answers gram harvesting', 'terms retrieval systems', 'retrieval information extraction']"
"['course programming languages', 'courses programming languages', 'programming languages course', 'programming languages freshmen', 'study programming languages', 'programming languages curriculum', 'described course programming', 'teaching programming languages', 'programming course', 'proposals programming languages']"
"['ranking commerce web', 'result ranking commerce', 'automatic ranking', 'user ranking method', 'automatic ranking method', 'ranks query results', 'result ranking', 'ranking commerce', 'databases rank', 'rank query results']"
"['user query classification', 'query classification', 'classification query classification', 'web document retrieval', 'query classification method', 'retrieval performance classification', 'query classification scheme', 'document retrieval types', 'query retrieval', 'information retrieval']"
"['integrated information querying', 'querying heterogeneous information', 'level query systems', 'query systems', 'info query processor', 'xml query interface', 'query interface', 'query processor', 'documents querying', 'bi level queries']"
"['ranking packets', 'protocol aware ranking', 'ranking flows detection', 'packets flows sampling', 'detection ranking flows', 'sampling flow ranking', 'flows detection ranking', 'packet sampling', 'flows ranking', 'flow ranking']"
"['objectrank layered graphs', 'objectrank layered', 'metric objectrank layered', 'graph pagerank', 'pagerank ranking', 'graph objectrank', 'pagerank', 'pagerank considers', 'pagerank rank', 'objectrank addresses relevance']"
"['ranking photos', 'photo ranking', 'ranking web objects', 'ranking web', 'ranking photos popularity', 'rank web objects', 'quality photo ranking', 'ranking algorithms photos', 'maximal ratings web', 'rank photos']"
"['information sharing web', 'social networking semantic', 'information social network', 'social network information', 'users social networks', 'information sharing weblog', 'proposed information sharing', 'social network using', 'social networks information', 'social networking']"
"['spatial data internet', 'peer storage utility', 'peer storage systems', 'distributed server', 'peer storage', 'spatial database server', 'large online data', 'spatial online databases', 'server distributed', 'peer peer storage']"
"['user interface researchexplorer', 'multimedia scientific information', 'database researchexplorer', 'information researchexplorer', 'exploration multimedia scientific', 'researchexplorer implemented', 'researchexplorer systems', 'researchexplorer exploration', 'multimedia scientific data', 'researchexplorer ui']"
"['cognitive complexity measure', 'cognitive complexity metric', 'complexity measure software', 'software complexity measure', 'software cognitive complexity', 'software complexity measures', 'information complexity measure', 'cognitive complexity software', 'software complexity measurement', 'comprehensive complexity measure']"
"['bluetooth scheduling', 'scheduling bluetooth', 'algorithm bluetooth scatternets', 'communication bluetooth scatternets', 'scheduling bluetooth piconets', 'bluetooth scatternets slaves', 'bluetooth scatternets abstract', 'bluetooth scatternets', 'scheduling communication scatternet', 'coordinated scatternet scheduling']"
"['reprogramming sensor network', 'linking reprogramming wireless', 'run time linking', 'reprogramming sensor nodes', 'programming sensor networks', 'energy consumption execution', 'reprogramming wireless sensor', 'embedded systems sensor', 'dynamic linking execution', 'energy cost reprogramming']"
"['debug sensor network', 'sensor network debugging', 'sensor network simulators', 'distributed debugger', 'debugging tools sensor', 'sensor network tools', 'sensor network simulator', 'debug sensor', 'sensor device emulations', 'debugging tool sensor']"
"['large sensor networks', 'sensor networks nodes', 'forwarding packet aggregation', 'sensor networks protocol', 'networks sensor networks', 'neighbors packet aggregation', 'nodes packets aggregation', 'cluster packets aggregation', 'scalable structure protocol', 'network data aggregation']"
"['large graph databases', 'mining graph databases', 'graph pattern mining', 'large graphs database', 'mining graph database', 'databases large graphs', 'mining graph patterns', 'graph patterns mining', 'patterns graph databases', 'complex graph databases']"
"['ip multimedia services', 'ip services multimedia', 'securing multimedia services', 'multimedia services ip', 'multimedia services authentication', 'ims ip multimedia', 'access multimedia services', 'ip multimedia ims', 'mobile multimedia services', 'accessing multimedia services']"
"['secure aggregation algorithms', 'securing network aggregation', 'node secure aggregation', 'secure aggregation', 'level aggregation security', 'secure aggregation scheme', 'aggregation security', 'secure aggregation compute', 'unsecured aggregation protocol', 'goal secure aggregation']"
"['middleware sensor networks', 'sensorbus distributed', 'sensorbus middleware', 'sensor network communication', 'wireless sensor networks', 'communication sensor networks', 'sensorbus architecture', 'sensor node computing', 'wireless sensor network', 'sensor network networks']"
"['broadcast authentication sensor', 'broadcast authentication protocol', 'authentication sensor networks', 'design broadcast authentication', 'broadcast authentication approaches', 'novel protocol authenticates', 'efficient broadcast authentication', 'authentication secure broadcast', 'adapted broadcast authentication', 'authentication information broadcast']"
"['selection microarray data', 'microarray classification', 'classifying microarray data', 'selection microarray', 'classifying microarray', 'gene selection microarray', 'classification microarray samples', 'classification microarray', 'gene ranking classification', 'microarray actual ranking']"
"['visualization flexible isosurface', 'contour trees visualization', 'contour tree abstraction', 'simplifies contour trees', 'isosurfaces volume rendering', 'contour tree exploration', 'contour tree based', 'contour trees surfaces', 'contour sweeping data', 'simplified contour trees']"
"['resilient packet forwarding', 'relaying nodes misbehavior', 'scheme maliciously packet', 'packet dropping attacks', 'malicious nodes', 'malicious nodes drop', 'sensor networks security', 'malicious nodes assured', 'packet watchdog', 'broadcast resiliency packet']"
"['current searching engines', 'current search engines', 'web search engine', 'purpose search engines', 'purpose search engine', 'proposed search engine', 'smartcrawl search engine', 'searching engines', 'pages search engines', 'considered search engine']"
"['braille translation engine', 'braille translation systems', 'english sparsha braille', 'indian language toolset', 'text braille translation', 'sparsha braille translation', 'translation braille text', 'indian languages toolset', 'bharati braille transliteration', 'computerised braille transcriptor']"
"['stylecam interactive stylized', 'stylecam interactive', 'stylecam animation', 'stylecam interaction', 'stylecam animation clips', 'stylecam interaction model', 'interaction stylecam', 'figure stylecam interaction', 'stylecam implemented', 'presentation stylecam']"
"['use tactile displays', 'tactile displays', 'abstract tactile displays', 'user haptic interface', 'tactile display', 'technology tactile displays', 'user interface tactons', 'devices tactile displays', 'limited tactile displays', 'tactile haptic device']"
"['tcp throughput improved', 'tcp performance propose', 'tcp performance reduce', 'tcp performance modeling', 'modeling tcp performance', 'conventional tcp timer', 'tcp throughput degradation', 'tcp throughput losses', 'tcp throughput link', 'tcp variable delay']"
"['sql education', 'sql concepts implementation', 'sql concepts', 'sql course', 'oracle course', 'taught databases', 'course oracle course', 'sql students', 'concepts including sql', 'course introduces sql']"
"['measures retrieval performance', 'simple retrieval measure', 'analyzing retrieval measures', 'retrieval measures abstract', 'retrieval measures', 'retrieval measure', 'underlying retrieval performance', 'retrieval performance', 'entropy precision recall', 'retrieval measure correlation']"
"['recognition motion streams', 'recognizing motion streams', 'recognizing motions streams', 'motions streams recognition', 'motion stream recognition', 'motion streams similarity', 'recognize motion streams', 'stream motion recognition', 'motion pattern recognition', 'recognizing motion patterns']"
"['cell architecture performance', 'cell processors', 'processor scientific computing', 'cell performance benchmarks', 'cell processor scientific', 'cell computational capabilities', 'sti cell processor', 'architecture scientific computations', 'cell processor building', 'cell processor']"
"['components use ontologies', 'components ontology', 'software component retrieval', 'source software components', 'existing software components', 'specific components ontology', 'use ontologies mediators', 'software component information', 'software components data', 'domain mediator ontology']"
"['relaxed service ontology', 'service ontologies choice', 'service ontology generalization', 'service ontologies', 'available service ontologies', 'use service ontologies', 'purpose service ontology', 'service ontology', 'services service ontology', 'service ontology concept']"
"['fringe word prediction', 'prediction fringe words', 'augmentative communication aac', 'speaking rate', 'aac corpus', 'rate speaking', 'tuning conversations', 'modeling word prediction', 'models word prediction', 'manual tuning conversations']"
"['topic transition detection', 'detection topic transitions', 'transition detection videos', 'detecting topic transitions', 'transition detection video', 'videos probabilistic detection', 'videos inference', 'hierarchical hmms', 'decomposition semantics videos', 'videos inference learning']"
"['video searching ranking', 'ranking video search', 'video relevance ranking', 'relevance ranking video', 'content ranking videos', 'relevance video metadata', 'rank video search', 'ranking videos', 'video ranking', 'ranking video']"
"['access policy language', 'policies languages', 'access control policies', 'policies language', 'reasoning policies language', 'control policy language', 'specifying policies languages', 'enforcing access controls', 'policy languages', 'policy language languages']"
"['topic trend analysis', 'tracking topic structure', 'topic emergence detection', 'tracking topic structures', 'topic tracking', 'identification topic emergence', 'modeling topic structure', 'topic structure identification', 'called topic tracking', 'topics analysis']"
"['theft information management', 'security breach theft', 'theft information thefts', 'examines theft information', 'protect theft information', 'information thefts', 'breaches information systems', 'manage security breach', 'thefts information', 'cause theft information']"
"['collaborative information seeking', 'individual information seeking', 'seeking information participants', 'individual information seeker', 'information seeking', 'organizations information seeking', 'information seeking management', 'individual info seeking', 'collaboration information seeking', 'information seeking collaborative']"
"['faults transactional agent', 'fault transactional agent', 'computers transactional agent', 'fault tolerant agent', 'computer transactional agent', 'implementation transactional agent', 'reliable transactional agent', 'fault tolerant object', 'agent tolerant computer', 'transactional agent implemented']"
"['term translation search', 'translation search engine', 'lingual queries digital', 'query translation engine', 'translations search', 'query terms translation', 'bilingual search', 'monolingual content search', 'translations search result', 'translation search']"
"['generic haskell', 'types haskell', 'types haskell type', 'haskell type classes', 'haskell type', 'haskell type class', 'generic functions types', 'functions generic types', 'polymorphism haskell type', 'lightweight generic programming']"
"['service robot software', 'services robot application', 'services robot', 'implement robot application', 'service robot applications', 'developing service robot', 'constructing service robot', 'service robot', 'services service robot', 'developing service robots']"
"['distributed information retrieval', 'distributed document retrieval', 'centralized retrieval', 'retrieval resource selection', 'information search retrieval', 'search retrieval', 'information retrieval algorithms', 'retrieval algorithms', 'document retrieval selection', 'information retrieval']"
"['3g network exposed', 'exploits 3g network', 'unwanted traffic 3g', 'traffic 3g networks', 'robustness 3g network', 'traffic 3g', 'impact 3g networks', 'traffic 3g network', 'robustness 3g', '3g robustness']"
"['metadata ranking recommending', 'recommending learning objects', 'attention metadata ranking', 'ranking recommending learning', 'ranking contextual recommendation', 'personalized ranking contextual', 'search tool recommending', 'learning objects recommending', 'recommendation tools', 'recommend objects users']"
"['software defect density', 'code churn metrics', 'measuring code churn', 'metrics code churn', 'analyzed code churn', 'bugs code churn', 'systems code churn', 'code churn measure', 'code churn measures', 'code churn release']"
"['agent traffic pattern', 'recognise traffic patterns', 'reasoning traffic', 'recognise traffic', 'mobile network operators', 'traffic model voice', 'model traffic pattern', 'traffic pattern', 'similar traffic pattern', 'networks resource management']"
"['processes business objects', 'objects business process', 'process business object', 'business objects process', 'business object role', 'business process models', 'business objects roles', 'roles business process', 'role business object', 'business process modeling']"
"['ambient information design', 'design ambient information', 'information ambient displays', 'ambient information systems', 'ambient information displays', 'designers ambient information', 'ambient systems designers', 'concept ambient information', 'information ambient information', 'ambient information']"
"['personalized information agents', 'profiles query generation', 'generating search engine', 'profile query generation', 'profiling query generation', 'agent browsing searching', 'automatic query generation', 'profiles generate queries', 'generate queries profiles', 'query generation mechanisms']"
"['novel video coding', 'video transcoder', 'efficient video encoding', 'video coding', 'process video transcoder', 'complexity mpeg 264', 'mpeg 264 transcoder', 'mpeg 264 complexity', 'video 264 mb', 'mpeg 264 transcoders']"
"['timely video streaming', 'facilitating streaming', 'streaming services presence', 'facilitate video streaming', 'provided streaming services', 'streaming services', 'streaming service', 'consider streaming services', 'streaming fast', 'streaming content']"
"['taxonomy integration classification', 'taxonomy integration bootstrapping', 'bootstrapping approach taxonomy', 'consider taxonomies web', 'taxonomy training', 'categorization source taxonomy', 'improve taxonomy integration', 'taxonomies web', 'integrating objects taxonomy', 'manual taxonomy integration']"
"['indian language indexed', 'crawl indian language', 'indian language web', 'indian languages web', 'indian language content', 'webkhoj search engine', 'indian language websites', 'indian langauge content', 'content indian language', 'webkhoj indian language']"
"['documents crawlers', 'academic documents crawling', 'academic publications crawl', 'desired documents crawlers', 'publications crawl', 'crawling missing documents', 'metadata focused crawlers', 'documents crawling', 'desirable content crawler', 'documents crawler']"
"['web databases sampling', 'extraction hidden web', 'hidden web databases', 'retrieval hidden web', 'sampling documents databases', 'information extraction hidden', 'information extraction web', 'queries documents', 'extract information web', 'extraction web pages']"
"['qos mobile subscribers', 'gsm networks strategies', 'gsm networks performance', 'mobile telecommunications', 'cellular mobile network', 'qos 3g mobile', 'service qos 3g', 'performance management 3g', 'qos 3g', 'management 3g mobile']"
"['ranking component retrieval', 'ranking software components', 'ranking retrieval component', 'ranking algorithm facet', 'component ranking', 'ranking components', 'ranking components keyword', 'retrieval software components', 'retrieval software component', 'ranking component lists']"
"['crawling online relevance', 'utility focused crawling', 'focused crawling resource', 'focused crawling topic', 'focused crawling online', 'focused crawlers topic', 'links crawl', 'crawling resource discovery', 'basic focused crawler', 'focused crawl']"
"['fast volume rendering', 'direct volume rendering', 'volume segmentation rendering', 'volume rendering', 'parallel volume rendering', 'interactive volume visualization', 'volume visualization', 'volume rendering computer', 'volume rendering filters', 'volume analysis visualization']"
"['personal information agent', 'personalized information filtering', 'agent technology personalized', 'collaborative browsing agent', 'browsing agent knowledge', 'intelligent personalized filtering', 'technology personalized information', 'information agent', 'filtering agent', 'information filtering concepts']"
"['retrieval associative networks', 'associative retrieval approach', 'retrieval knowledge representation', 'approach associative retrieval', 'associative retrieval', 'adaptive information retrieval', 'retrieval information retrieval', 'underlying information retrieval', 'information retrieval', 'know information retrieval']"
"['wireless traffic modeling', 'characterization wireless traffic', 'wireless traffic', 'wireless traffic provide', 'markovian traffic issues', 'kinds wireless traffic', 'wireless data traffic', 'wireless ip traffic', 'markovian traffic', 'internet traffic modeling']"
"['meta reasoning languages', 'theory languages bindings', 'meta theory languages', 'reasoning languages', 'custom type theory', 'implement theory metaprl', 'logic formal languages', 'prover object language', 'formal reasoning syntax', 'operators concrete languages']"
"['delivery parallel computations', 'parallel computations provides', 'asymmetrical parallel computations', 'parallel computations', 'parallel computations called', 'parallel computations abstract', 'parallel computations using', 'parallel computations barriers', 'parallel computation section', 'parallel computation']"
"['learning techniques bioinformatics', 'bioinformatics machine learning', 'machine learning bioinformatics', 'techniques bioinformatics', 'learning bioinformatics', 'biology data learning', 'learning systems bioinformatics', 'research bioinformatics', 'bioinformatics research', 'bioinformatics']"
"['aspect language applications', 'aspect tcp', 'aspect language programming', 'aspect prefetching expressions', 'expressive aspect language', 'allows aspect programmers', 'needed aspect language', 'design aspect language', 'formal aspect language', 'aspect tcp udp']"
"['website quality evaluation', 'websites quality evaluation', 'website comparison ranking', 'evaluate websites', 'evaluation index methods', 'evaluation indexes business', 'evaluate quality websites', 'business website comparison', 'assesses business websites', 'evaluation index business']"
"['interactive 3d animation', 'interactive animated 3d', 'interactive animation', '3d animated', '3d animation environment', 'interactive animation playback', 'animation interaction techniques', 'manipulations animations', 'interaction techniques animation', 'integration interactive animation']"
"['testing database systems', 'database tests semantics', 'testing database applications', 'database test cases', 'intensional database tests', 'database testing', 'designed testing database', 'test databases', 'database testing toolkit', 'database tests']"
