"['grid service discovery', 'service discovery grids', 'discovery grid services', 'grid discovery services', 'discovery grid service', 'scalable grid service', 'services grids', 'specialized grid service', 'grid services', 'grid service providers']"
"['distributed documents', 'documents shared', 'sharing documents', 'distributed documents case', 'documents distributed', 'peer file sharing', 'file sharing', 'file sharing designed', 'distributed peer', 'share documents']"
"['caching systems peer', 'caching protocols', 'peer cache consider', 'storage buddycache peer', 'peer caching', 'scalable internet caches', 'caching protocol', 'regular peer cache', 'peer cache', 'stand peer cache']"
"['context information negotiation', 'distributed context providers', 'distributed context', 'context aware computing', 'negotiation context providers', 'context providers negotiate', 'applications utilize context', 'context aware applications', 'context acquisition negotiation', 'possible context providers']"
"['keys distributed sensor', 'distributed keys', 'attacks sensor network', 'secure key distribution', 'attack sensor network', 'key establishment scheme', 'pairwise key establishment', 'clusters sensor network', 'key node sensors', 'network key']"
"['security event brokers', 'better event encryption', 'control security publish', 'event access encryption', 'encrypted events broker', 'network trusted events', 'encrypted event broker', 'clients event encryption', 'event encryption', 'secure event types']"
"['peer overlay streaming', 'peer peer streaming', 'peer streaming', 'streaming content peer', 'bandwidth peers approach', 'mechanism peer receiver', 'peer receiver driven', 'peerto peer streaming', 'bandwidth peer minimizing', 'peer peer receiver']"
"['voice loss packets', 'packet loss speech', 'loss important packets', 'tradeoff packet loss', 'packets loss dependence', 'loss packets', 'packets sensitive loss', 'packet losses', 'packets voice', 'experience packet loss']"
"['worlds grid computing', 'dynamic virtual environments', 'complex virtual environments', 'online worlds grid', 'indexing virtual space', 'server based grid', '3d virtual environments', 'virtual worlds', 'division virtual worlds', 'virtual environments']"
"['adaptive resourcemanagement middleware', 'adaptive resource management', 'distributed resource management', 'management adaptive resource', 'resource management distributed', 'adaptive resourcemanagement', 'adaptive resource provisioning', 'resource management middleware', 'providing adaptive resource', 'adaptive middleware capabilities']"
"['assimilation reservoir modeling', 'ensemble reservoir models', 'data assimilation ensemble', 'computing reservoir modeling', 'geological model ensemble', 'simulations reservoir modeling', 'reservoir models method', 'ensemble geological models', 'reservoir modeling field', 'reservoir modeling']"
"['location sensor nodes', 'locations wireless sensor', 'sensor node localization', 'localize sensor nodes', 'location sensor node', 'localization wireless sensor', 'localizing sensor network', 'wireless sensor nodes', 'localization accuracy nodes', 'positioning wireless sensor']"
"['sensor network localization', 'localizing sensor network', 'sensor nodes localization', 'localization sensor networks', 'sensor node localization', 'network localization based', 'network localization', 'localizing sensor', 'localization wireless sensor', 'locations sensor nodes']"
"['sensors archive data', 'archived sensor data', 'archiving sensors distributed', 'sensor storage architecture', 'sensor storage approach', 'constructing sensor storage', 'sensor store data', 'indexing sensor networks', 'storage sensor data', 'sensor storage']"
"['range queries distributed', 'large range queries', 'multidimensional range queries', 'queries sensor networks', 'efficient queries sensor', 'indices sensor network', 'queries distributed index', 'network distributed index', 'range queries routing', 'dimensional range queries']"
"['opportunistic routing protocols', 'opportunistic network routing', 'protocols opportunistic networks', 'epidemic routing protocols', 'evaluating opportunistic routing', 'opportunistic networks routing', 'opportunistic routing', 'routing protocol epidemic', 'protocol epidemic routing', 'protocol opportunistic networks']"
"['search rescue systems', 'management wireless sensor', 'sensor network need', 'sensor network applications', 'sensor network', 'rescue systems', 'wireless sensor network', 'search rescue applications', 'network sensors', 'sensor network developed']"
"['fairness dead reckoning', 'fairness distributed game', 'comparison dead reckoning', 'sending dead reckoning', 'players varying delays', 'using dead reckoning', 'reckoning vectors sender', 'dead reckoning vectors', 'accuracy dead reckoning', 'players maintaining accuracy']"
"['global synchronization', 'continuous consistency multiplayer', 'consistency multiplayer', 'local lag maintain', 'help global synchronization', 'eliminate inconsistency synchronization', 'synchronization', 'synchronization gs', 'distributed multiplayer', 'lag maintain']"
"['large online data', 'spatial online databases', 'large spatial databases', 'maintained spatial database', 'spatial database server', 'peer storage utility', 'online data prolonged', 'spatial data archives', 'accessible spatial database', 'online spatial data']"
"['context aware group', 'interaction mobile group', 'context awareness group', 'mobile ubiquitous environments', 'context aware applications', 'location sensing group', 'context aware application', 'interaction location sensing', 'users context groups', 'aware group interaction']"
"['distributed execution grid', 'management grid computing', 'processes grid centralized', 'grid computing architecture', 'middleware grid computing', 'enact processes grid', 'distributed process execution', 'execution proposed grid', 'grid centralized coordination', 'grid architecture infrastructure']"
"['weighted congestion games', 'failures congestion games', 'congestion games resource', 'model congestion games', 'generalization congestion games', 'corresponding congestion game', 'theorem congestion games', 'congestion games model', 'resource failures congestion', 'congestion games constructing']"
"['distributed hash table', 'scalable aggregation trees', 'scalable aggregation tree', 'distributed hash', 'scalable aggregation', 'distributed databases', 'aggregation achieving scalability', 'scale distributed applications', 'scalable distributed', 'scalable trees aggregation']"
"['spectrum content management', 'distributed content media', 'storage centralized content', 'distributed content management', 'multimedia content distributed', 'content distribution storage', 'content storage', 'serving multimedia content', 'distributed content', 'streaming content distribution']"
"['proxy based games', 'game distributed authority', 'distributed game clients', 'communication proxies game', 'proxy aware game', 'proxy based gaming', 'proxy based game', 'proxies aware game', 'distributed game', 'player distributed games']"
"['network monitors contracting', 'incentives networked systems', 'internet needs contracts', 'monitors contracting systems', 'network competition', 'network innovation', 'network accountability', 'contracting systems competition', 'network industry', 'routing contracting systems']"
"['weapon sensor', 'acoustic sniper localization', 'classify weapon sensor', 'counter sniper systems', 'acoustic counter sniper', 'weapon estimation accuracy', 'soldierwearable mobile countersniper', 'networked shooter localization', 'shooter localization', 'bullet trajectory sensor']"
"['scheduling workflow web', 'web service workflow', 'scheduling web service', 'web services workflows', 'workflows web service', 'services composed workflows', 'workflow web service', 'services workflows', 'scheduling service requests', 'service workflow systems']"
"['design education mac', 'education mac', 'design student computer', 'mac os', 'mac', 'os mac', 'xgrid mac', 'apple mac', 'apple academic', 'suite mac']"
"['availability latency zebroids', 'availability latency carrier', 'availability latency policy', 'improvements availability latency', 'minimizing availability latency', 'improve availability latency', 'weighted availability latency', 'availability latency analysis', 'availability latency employing', 'availability latency study']"
"['native pda browsers', 'native pda browser', 'mobile web applications', 'pda screen client', 'mobile native browsers', 'screen client', 'pda screen platforms', 'pda web browsers', 'pdas web browsers', 'pthinc native web']"
"['maximizing sensor nodes', 'sensor nodes distributed', 'sensor nodes grouped', 'grouping wireless sensor', 'maximizing sensor node', 'sensor grouping scheme', 'group sensing neighbor', 'group sensing neighbors', 'neighboring nodes sensing', 'group sensor nodes']"
"['incremental gossip protocols', 'incremental gossip protocol', 'improvements incremental gossip', 'protocols gossip based', 'gossip based protocols', 'gossip coordinated spectrum', 'opportunistic spectrum sharing', 'protocols gossip', 'radios protocols', 'nodes radios protocols']"
"['communication middleware', 'message oriented middleware', 'messaging middleware', 'asynchronous communication environments', 'protocol middleware', 'asynchronous messaging', 'supports asynchronous communication', 'middleware primitives communication', 'middleware systems', 'middleware mobile environments']"
"['heterogeneous idss intrusion', 'idss intrusion detection', 'intrusions grid environment', 'grid intrusion detection', 'intrusions grid', 'heterogeneous idss processing', 'distributed intrusion', 'intrusion detection integrating', 'distributed intrusion detection', 'intrusion detection components']"
"['service events correlation', 'service event correlation', 'event correlation service', 'correlation service events', 'service oriented correlation', 'serviceoriented event correlation', 'correlation service event', 'correlation service oriented', 'correlated service events', 'service events correlated']"
"['predecessor events protocols', 'distributed computation events', 'events distributed computation', 'immediate predecessors distributed', 'track causality concurrency', 'observer distributed computation', 'causal dependencies concurrency', 'causality concurrency', 'causality concurrency events', 'distributed computations']"
"['autonomous components', 'smart components', 'software based components', 'suitable smart components', 'sensors smart components', 'autonomous components composed', 'smart sensor component', 'autonomous components cooperate', 'cooperating smart components', 'sensor actuator interoperability']"
"['p2p systems manets', 'hoc networks design', 'routing load balancing', 'discovery load balancing', 'load balancing achieved', 'ad hoc networks', 'manet routing algorithms', 'manets p2p', 'networks manets', 'load balancing techniques']"
"['operations context based', 'operation context proposed', 'operation contexts operations', 'operation context theory', 'operation context facilitate', 'operation context notion', 'operation context', 'context original operations', 'operation contexts', 'operations undoing']"
"['techniques caching database', 'adaptive database cache', 'alternative approaches caching', 'database caching web', 'caching solutions throughput', 'data cache web', 'useful data cache', 'data intensive web', 'database caching', 'approaches caching']"
"['energy harvesting framework', 'feasibility energy harvesting', 'model energy harvesting', 'harvesting energy environment', 'cycling energy harvesting', 'applicable energy harvesting', 'energy harvesting', 'management energy harvesting', 'energy harvesting sensor', 'harvesting sensor networks']"
"['pervasive document management', 'pervasive document editing', 'collaborative document processing', 'pervasive collaborative document', 'sophisticated document management', 'collaborative document editing', 'pervasive editing management', 'document editing management', 'data document management', 'document management']"
"['replica selfish servers', 'replicas selfish servers', 'selfish servers model', 'distributed selfish servers', 'networked selfish servers', 'replicas nash equilibrium', 'networks selfish servers', 'nash equilibrium replica', 'selfish servers', 'servers incentive replicate']"
"['distributed adaptive resource', 'adaptive services edas', 'decentralized adaptive service', 'systems distributed applications', 'distributed applications', 'decentralized adaptive services', 'service grid infrastructure', 'edas environment decentralized', 'adaptive services', 'adaptive service service']"
"['regularized clustering documents', 'regularized clustering', 'regularized clustering methods', 'regularization data clustering', 'regularizer method clustering', 'document clustering cluster', 'novel document clustering', 'regularizer algorithm clustering', 'document clustering', 'document clustering methods']"
"['image retrieval relevance', 'retrieval labeled images', 'results image retrieval', 'relevance feedback image', 'classifier relevance feedback', 'feedback image retrieval', 'optimal classifier relevance', 'retrieval relevance feedback', 'effectiveness image retrieval', 'learning image retrieval']"
"['efficient generation snippets', 'searchers accurate snippets', 'snippet generation performance', 'fast snippet generation', 'cache snippet generation', 'informative snippets search', 'query biased snippets', 'snippet generation algorithms', 'snippet generation caching', 'cache store sentences']"
"['captions web search', 'web search captions', 'search captions results', 'search result captions', 'search captions', 'web search behavior', 'web search results', 'queries caption characteristics', 'captions relevance assessed', 'pages captions relevance']"
"['web search interactions', 'popular search queries', 'web search interaction', 'exploratory searches users', 'search results destinations', 'search engine interactions', 'search destination suggestions', 'web searching trends', 'compared suggestion destinations', 'popularity web search']"
"['caching search engines', 'caching efficient query', 'caching search engine', 'caching queries', 'efficient caching', 'caching query answers', 'search engines caching', 'caching answers queries', 'queries caching', 'query answers caching']"
"['search engines prune', 'prune index documents', 'document pruned indexes', 'pruned index guarantee', 'results pruned index', 'pruning information retrieval', 'index document pruned', 'document pruning index', 'pruned index approach', 'document pruned index']"
"['topic segmentation shared', 'shared topic detection', 'topic detection multidocument', 'document topic segmentation', 'detection topic segmentation', 'topic tracking', 'topic detection tracking', 'information topic segmentation', 'topic segmentation optimization', 'topic segmentation documents']"
"['periodic event detection', 'features periodic event', 'event periodicity classification', 'periodic features bursts', 'analyzing word trajectories', 'similarity periodic features', 'detecting periodic features', 'classify word features', 'categorize word features', 'identifying bursts features']"
"['personalized query expansion', 'personalized retrieval engine', 'keywords query expansion', 'personalized search results', 'approaches personalize search', 'query expansion keywords', 'personalized web search', 'personalized retrieval', 'personalized search algorithms', 'keywords personalized']"
"['detection news indexing', 'tracking news events', 'news indexing tree', 'detection news', 'indexing tree news', 'news indexing', 'proposed news indexing', 'based news indexing', 'using news indexing', 'entities based news']"
"['classification rare queries', 'improving query classification', 'web query classification', 'improve query classification', 'query classification compared', 'query classification performance', 'small query classification', 'findings query classification', 'query classification', 'automatic query classification']"
"['users advanced searchers', 'advanced searchers querying', 'search characteristics users', 'novice searchers user', 'engine users search', 'experienced users searching', 'users successful searches', 'web search interaction', 'users advanced search', 'search engine users']"
"['term relevance feedback', 'terms relevance feedback', 'retrieval language models', 'retrieval language modeling', 'retrieval retrieval models', 'relevance feedback terms', 'term feedback relevance', 'information retrieval language', 'relevance based language', 'information retrieval feedback']"
"['map performance svm', 'ranking svm', 'ranking svm document', 'svm document retrieval', 'ranked retrieval systems', 'achievable accuracy ranking', 'best retrieval functions', 'score retrieval', 'svm optimizing', 'map svm']"
"['models relevance feedback', 'relevance feedback methods', 'relevance feedback information', 'pseudo relevance feedback', 'relevance feedback based', 'relevance feedback', 'relevance feedback using', 'improving retrieval feedback', 'models retrieval estimating', 'retrieval feedback']"
"['query contexts', 'query contexts information', 'using query contexts', 'query specific contexts', 'context query factors', 'information retrieval context', 'contexts query context', 'query factors context', 'contexts information retrieval', 'specify contexts query']"
"['retrieval concept expansion', 'concept query expansion', 'query expansion relevance', 'modeling query expansion', 'expansion relevance models', 'modeling information retrieval', 'information retrieval generalization', 'retrieval document expansion', 'retrieval generalization relevance', 'improvements relevance modeling']"
"['poisson retrieval models', 'multinomial retrieval models', 'poisson multinomial retrieval', 'models multinomial retrieval', 'poisson retrieval model', 'probabilistic retrieval models', 'different retrieval models', 'retrieval multinomial distribution', 'retrieval models', 'models retrieval smoothing']"
"['definitional question answering', 'question answering', 'answering definitional questions', 'definitional answers topics', 'answering models interestingness', 'definitional answers using', 'definitional questions identification', 'identifying definitional answers', 'question answering systems', 'answering definitional question']"
"['adarank boosting', 'learning ranking', 'learning ranking models', 'ranking learning', 'retrieval learning rank', 'rank document retrieval', 'adarank ranking', 'approach ranking learning', 'learning rankings', 'performance adarank task']"
"['spam detection svms', 'svms spam filtering', 'spam svms', 'spam online svms', 'svms spam detection', 'online svms spam', 'svms spam', 'vector machines spam', 'svms online spam', 'svms perform spam']"
"['diffusionrank ranking', 'pagerank heat', 'diffusionrank pagerank', 'spamming diffusionrank', 'pagerank interesting heat', 'pagerank diffusionrank', 'pagerank heat diffusion', 'diffusionrank', 'propose diffusionrank', 'algorithm diffusionrank']"
"['personal information management', 'managing finding information', 'personal information retrieval', 'users manage information', 'evaluating personal information', 'manage information', 'maintain personal information', 'information management evaluations', 'concerning personal information', 'information management tools']"
"['lingual query suggestion', 'crosslanguage information retrieval', 'query language suggest', 'monolingual query suggestion', 'cross lingual query', 'monolingual query suggestions', 'lingual query similarity', 'language query term', 'lingual query expansion', 'cross language query']"
"['effectiveness pagerank hits', 'pagerank effective web', 'effectiveness pagerank', 'ranking web search', 'pagerank hits algorithms', 'pagerank hits', 'hits pagerank', 'ranking web', 'hyperlink analysis ranking', 'pagerank success']"
"['topics graph analyzed', 'systems topics graph', 'topics graph compute', 'topic systems perform', 'topics hubness systems', 'network analysis measures', 'graph trec systems', 'network analysis indicators', 'social network analysis', 'topics graph']"
"['content link classification', 'link classification using', 'link classification', 'links factorizations', 'categorization using hyperlinks', 'link matrix factorization', 'link analysis based', 'content matrix factorization', 'web page classification', 'linkcontent supervised matrix']"
"['temporal text indexing', 'temporal text index', 'text indexing time', 'efficient search', 'search temporal coalescing', 'indexing time', 'indexing documents', 'documents temporal databases', 'scalable temporal text', 'time download indexed']"
"['web queries prediction', 'retrieval performance prediction', 'performance web search', 'predicting retrieval performance', 'retrieval query performance', 'predicting query performance', 'query performance prediction', 'web retrieval', 'web retrieval technique', 'web retrieval query']"
"['broad expertise retrieval', 'lot expertise retrieval', 'expertise retrieval', 'expertise retrieval tasks', 'main expertise retrieval', 'expertise retrieval generalize', 'useful expertise retrieval', 'expertise retrieval needs', 'focused expertise retrieval', 'expertise retrieval setting']"
"['ads contextual advertising', 'contextual ads', 'contextual advertising ads', 'ads contextual', 'advertising context match', 'context match advertising', 'matching contextual advertising', 'advertising contextual', 'contextual ads relevance', 'advertising contextual advertising']"
"['query expansion techniques', 'term mismatch queries', 'evaluating query expansion', 'automatic query expansion', 'query term documents', 'documents query terms', 'query expansion based', 'query expansion comparing', 'systems query expansion', 'query expansion feedback']"
"['retrieval performance prediction', 'predicting retrieval performance', 'documents predict retrieval', 'predicting retrieval', 'retrievals predict ranking', 'retrievals predict retrieval', 'retrievals predict', 'retrievals systems predictors', 'consistent retrievals predict', 'retrieval predictors']"
"['feedback passage retrieval', 'incremental relevance feedback', 'user passage ranking', 'automatic retrieval', 'twelfth text retrieval', 'feedback retrieval models', 'passage ranking', 'passage retrieval', 'novelty text retrieval', 'relevance feedback retrieval']"
"['ranking documents', 'ranking contain documents', 'rank aggregation approaches', 'ranking different documents', 'rank aggregation methods', 'documents ranking', 'ranked documents', 'ranked retrieval', 'document ranking', 'ranking documents texts']"
"['query terms spoken', 'vocabulary speech indexing', 'speech data queries', 'terms spoken data', 'spoken data retrieval', 'approaches speech indexing', 'query phonetic transcripts', 'phonetic transcripts retrieval', 'transcripts query terms', 'spoken term detection']"
"['search engine stemming', 'web search stemming', 'search stemming approach', 'sensitive query stemming', 'query processing stemming', 'search stemming', 'processing stemming indexing', 'stemming web search', 'query stemming', 'stemming query reformulation']"
"['conceptual retrieval domain', 'retrieval biomedical literature', 'conceptual retrieval systems', 'conceptual retrieval study', 'study conceptual retrieval', 'concepts retrieval concept', 'concepts retrieval', 'intensive conceptual retrieval', 'retrieval study domain', 'biomedical information retrieval']"
"['probabilistic retrieval model', 'probabilistic retrieval models', 'retrieval probabilistic', 'probabilistic weighted retrieval', 'probabilistic retrieval', 'information retrieval models', 'probabilistic retrieval approaches', 'probability probabilistic retrieval', 'probabilities probabilistic retrieval', 'retrieval probabilistic inference']"
"['associating ads web', 'web advertising', 'ads regard web', 'advertising search engines', 'techniques web advertising', 'content targeted advertising', 'associating relevant ads', 'information matching ads', 'web pages ads', 'targeted advertising keywords']"
"['modeling personalized search', 'model personalized search', 'personalized search agent', 'personalized web search', 'personalized search studied', 'modeling interactive retrieval', 'modeling information retrieval', 'retrieval implicit user', 'personalized search', 'specific retrieval models']"
"['indexing broadcast data', 'indexing schemes broadcasting', 'index data broadcast', 'indexing information dissemination', 'data location broadcast', 'indexing broadcast', 'wireless data dissemination', 'broadcast data locations', 'wireless broadcast data', 'data dissemination']"
"['complex digital libraries', 'learning information architecture', 'finding governmental information', 'automatic concept identification', 'retrieval digital libraries', 'retrieval data structures', 'information architecture discovery', 'classify documents', 'classification web content', 'details concept discovery']"
"['ranking web objects', 'web object ranking', 'ranking web', 'rank web objects', 'results ranking photos', 'ranking photos', 'photo ranking', 'object ranking algorithms', 'maximal ratings web', 'object ranking']"
"['recommendation learns user', 'modeling recommendation systems', 'user modeling recommendation', 'modeling recommendation', 'learning user profiles', 'personalized recommendations users', 'user profile learning', 'learn user models', 'recommendation learns', 'recommendation systems']"
"['retrieval resource selection', 'distributed information retrieval', 'document retrieval selection', 'centralized retrieval', 'information retrieval known', 'distributed document retrieval', 'information retrieval algorithms', 'information retrieval', 'selection document retrieval', 'document retrieval targets']"
"['automatic extraction titles', 'document title extraction', 'titles extractions', 'title extraction research', 'automatic title extraction', 'title extraction based', 'successful title extraction', 'consider title extraction', 'title extraction', 'title extraction approach']"
"['pagerank machine learning', 'pagerank features', 'pagerank static features', 'better pagerank', 'features pagerank', 'pagerank pairwise accuracy', 'better pagerank pairwise', 'ranking web pages', 'accuracy pagerank', 'pagerank ranks']"
"['evaluating retrieval systems', 'effectiveness evaluating retrieval', 'retrieval evaluation', 'evaluating retrieval', 'relevance judgments evaluation', 'evaluation information retrieval', 'evaluate relevance judgments', 'acquiring relevance judgments', 'reuse relevance judgments', 'accumulating relevance judgments']"
"['retrieval various distance', 'descriptors retrieval applications', 'descriptors distance measurement', 'descriptors recommended distance', 'descriptors distance', 'descriptors retrieval', 'basic descriptors retrieval', 'distance measures descriptor', 'descriptor distance measure', 'information retrieval seen']"
"['web hidden search', 'automatic hidden web', 'hidden web crawlers', 'web crawling', 'effective hidden web', 'search hidden web', 'approach hidden web', 'hidden web crawler', 'web crawler simplicity', 'hidden web search']"
"['global pagerank estimation', 'accelerating pagerank', 'global pageranks care', 'global pageranks', 'global pagerank', 'local pageranks', 'approximate global pageranks', 'approximating global pageranks', 'accelerating pagerank computation', 'local pageranks approximate']"
"['identifying topics events', 'news topic event', 'event threading news', 'threading events news', 'modeling news topics', 'events dependencies news', 'events topic constructing', 'topic event models', 'events news topic', 'threading news topics']"
"['predicting web search', 'predict web search', 'user search interactions', 'search users predict', 'user relevance judgments', 'predicting relevance preference', 'interacting web search', 'predicted relevance preferences', 'predict relevance preferences', 'predicts clicked results']"
"['trec11 relevance feedback', 'evaluation topic tracking', 'adaptive filtering relevance', 'evaluations topic tracking', 'conventional topic tracking', 'adaptive rocchio relevance', 'topic tracking relevance', 'learning filtering documents', 'performance cross corpus', 'tracking relevance feedback']"
"['xml retrieval evaluation', 'xml retrieval', 'xml information retrieval', 'retrieval xml documents', 'xml retrieval results', 'information retrieval xml', 'evaluation xml retrieval', 'hybrid xml retrieval', 'retrieval xml', 'oriented xml retrieval']"
"['search results clustering', 'cluster web search', 'search engine clustering', 'search retrieval clustering', 'clustering search engine', 'search results cluster', 'clustering search results', 'clustering useful search', 'search results clusters', 'results clustering search']"
"['information retrieval models', 'retrieval retrieval models', 'information retrieval language', 'existing retrieval models', 'information search retrieval', 'retrieval accuracy relevance', 'retrieval models retrieval', 'information retrieval performance', 'improve information retrieval', 'retrieval models']"
"['web search evaluation', 'web search behaviors', 'predicting web search', 'ranking web search', 'web search ranking', 'feedback web search', 'improving web search', 'ranking search results', 'web search features', 'ranked web search']"
"['queries referenced places', 'queries geographical references', 'location references search', 'locations search engine', 'geographical references queries', 'location based searches', 'geographical query references', 'locations search queries', 'handling locations search', 'queries geographical reference']"
"['implicit relevance feedback', 'implicit relevance information', 'information retrieval behavior', 'search relevance information', 'retrieval performance relevance', 'information searchers interact', 'search relevance', 'relevance assessments search', 'relevance devised search', 'search feedback interaction']"
"['text classification action', 'mails containing action', 'mails action items', 'mail learning tasks', 'action item detection', 'classify email', 'spam detection action', 'detecting items mail', 'mail list classification', 'mails action']"
"['text classifiers probability', 'estimates text classifiers', 'classifiers probability estimates', 'text classifier probability', 'bayes text classification', 'text classifiers', 'classifier probability estimates', 'improve classifier probabilities', 'training text classifiers', 'bayesian classifiers']"
"['agent aborting tasks', 'aborting abstract agent', 'agent abort processing', 'agent action aborting', 'aborts abstract agent', 'agent aborting', 'agent abort', 'tasks bdi agents', 'abort task approach', 'agent abort request']"
"['agent incremental learning', 'agent concept learner', 'multiagent incremental learning', 'agent concept learning', 'incremental multi agent', 'learned multi agent', 'multi agent concept', 'learning multiple agents', 'soundmulti agentincremental learning', 'knowledges shared agents']"
"['agent future behavior', 'predict agent behavior', 'agent external behavior', 'agent future actions', 'behavior driven agent', 'agent behaviors', 'predict agent future', 'agent behavior', 'reasoning agent actions', 'agent internal state']"
"['estimations environments agent', 'user observations agents', 'data collected agents', 'information collected agents', 'environments sparse data', 'agents collecting data', 'agents data based', 'agent data estimating', 'collaborate environments agents', 'agent observations estimations']"
"['search peer peer', 'distributed search protocol', 'peer information retrieval', 'search peer', 'distributed search sessions', 'distributed search', 'distributed search process', 'search processes peer', 'distributed search processes', 'distributed information retrieval']"
"['searching agents network', 'dynamic networks agents', 'large networks agents', 'searching agents', 'agents search gather', 'routing queries agents', 'enables agents search', 'networks agents gather', 'network efficient information', 'networks agents tuned']"
"['bluscreen advertising bidding', 'devices bidding agent', 'auction mechanism advertising', 'advertising bidding strategy', 'auction advertising', 'advertising bidding', 'auctions allocate advertising', 'auctions bidding agents', 'agents bluscreen advertising', 'bidding agents approaches']"
"['planning satellite swarm', 'tasks satellite swarm', 'satellite swarm problem', 'collaboration satellite swarm', 'satellite swarm communication', 'satellite swarms sets', 'satellite swarm simulations', 'swarm satellite swarm', 'developed satellite swarms', 'satellite swarm']"
"['determination simultaneous auctions', 'analysis simultaneous auctions', 'simultaneous auctions', 'auctions simultaneous auctions', 'auctions global bids', 'auctions global bidders', 'global bidder auction', 'auction optimal', 'simultaneous auctions segmented', 'auction theory']"
"['weighted voting games', 'agent voting power', 'power weighted voting', 'weighted majority games', 'edges coalition agents', 'power indices game', 'game coalition edges', 'agents network flow', 'voting power indices', 'agent network flow']"
"['market barriers communication', 'market barriers agents', 'barriers word mouth', 'market barriers model', 'interactions market barriers', 'network word mouth', 'word mouth communication', 'perceived market barriers', 'mechanism word mouth', 'market barriers ability']"
"['agent cognitive load', 'shared mental modeling', 'shared mental model', 'cognitive model agent', 'shared mental models', 'agent cognitive model', 'cognitive loads team', 'implemented cognitive agent', 'agent cognitive', 'cognitive load modeling']"
"['parallel economic search', 'economic search distributed', 'parallel search equilibrium', 'strategies parallel search', 'economic search theory', 'economic search models', 'parallel search partnership', 'economic search partnerships', 'sided economic search', 'search equilibrium']"
"['schedule distributed agents', 'distributed scheduling agents', 'scheduling agents ability', 'agents effective scheduling', 'schedule temporal constraints', 'distributed schedule management', 'scheduling agents', 'agents schedules implemented', 'agent schedules coordinating', 'schedules multiple agents']"
"['agents distributed network', 'distributed network complexity', 'agent social network', 'tasks social network', 'social network agents', 'agent organized networks', 'social network tasks', 'distributed task', 'distributed task allocation', 'allocation social networks']"
"['judgment aggregation logics', 'judgment aggregation logic', 'logic judgment aggregation', 'reasoning judgment aggregation', 'logic preference aggregation', 'judgment preference aggregation', 'preference aggregation logic', 'judgment aggregation preference', 'principles judgment aggregation', 'preference aggregation judgment']"
"['agents adversarial environment', 'agent adversarial environment', 'utility rational agents', 'single adversarial agent', 'adversarial agent consider', 'building adversarial agents', 'adversarial agents explore', 'adversarial environment axioms', 'agents adversaries models', 'sum adversarial environment']"
"['institution specification describing', 'considered institution specification', 'institutional specification', 'institution specification', 'rudimentary institutional specifications', 'specification consider institution', 'institutional specification containing', 'occurring institution specification', 'formal approaches institutions', 'structuring specification institution']"
